@IndyUSA @Independent  Prince Andrew has not aged well.
"RT @Conservative_VW: We Have a Dream ...

#ConservativeVW http://t.co/f64Mx2Bp5A"
RT @BethMSH_: Remove the dinosaurs in Congress. http://t.co/Q6TqKuF0D0 #COSProject #PJNET
RT @NBCNightlyNews: BREAKING: Jury has reached a verdict in the Boston Marathon bombing trial - @DMAnews1
"RT @ChristiChat: #WakeUpAmerica🇺🇸

I'm an American Christian
➰I don't like Obama's
remarks about US!

#PrayerBreakfast
#CCOT
#TCOT http://t…"
RT @ReutersPolitics: Hillary Clinton hires Google executive as tech chief: Washington Post http://t.co/PvHdA0xcf6
RT @Ponderela: Diver Meets Turtle  http://t.co/s1e7uVI9HG #GodIsAwesome
"RT @ChristiChat: #WakeUpAmerica 

P•R•O•S•E•C•U•T•E‼️

H•I•L•L•A•R•Y‼️

#HillaryEmail
#HillaryLiesMatter
#StopHillary2016 http://t.co/Qa3Cu…"
"RT @LanceSilver1: @AndreaTantaros 

OBAMA'S A MUSLIM. WHAT DO WE EXPECT OBAMA TO DO: CRITICIZE ISLAM &amp; MUSLIMS ! http://t.co/BhEI7lafKQ"
"RT @peddoc63: ️Obama says he's Christian🙏
Retweet if it's ""You Lie""moment❌
Too Bad Joe Wilson wasn't there! @jmlg05 @jjauthor #tcot http://…"
"RT @RandPaul: I will fight to keep the federal government out of New Hampshire, out of your homes, and out of your businesses and out of yo…"
RT @RandPaul: A government that sifts through your personal records does not leave you free.
RT @RandPaul: They admonished you to live free.  A government that takes half your pay does not leave you free.
@OutnumberedFNC  Better than some other names she deserves.  #Benghazi
"RT @LSUJEFF: MT @dlrlv RT @Callisto1947: If You Agree Please RT
@CarmineZozzora @irisflower33 @peddoc63 @TrucksHorsesDog @MaydnUSA http://t…"
"RT @WarriorDogs: #WarriorWednesday 
WDF is dedicated to serving the special operations community, and (SOF) working K-9 military dogs. http…"
RT @YourAnonNews: WARNING: Data-leaking Chrome extension puts over one million web users at risk http://t.co/9z42LfPUn0 #privacy #security
RT @seanhannity: “Sounds like destroying evidence to me.” –Sen. @RandPaul on Hillary Clinton’s email server being wiped clean. #Hannity
RT @WFLA: St. Pete Police have trained their police horse to PAINT! You've got to see it to believe it: http://t.co/4EUvgYWVP3 http://t.co/…
RT @ggeettaaa: Congress: America wants IRS abolished. http://t.co/yOy8Mru4PS
