@z31r4m @HouseCracka @CarlyFiorina Yep.
@HouseCracka @z31r4m Correct.
@ChuckCJohnson yes.
RT @ChuckCJohnson: I'm in touch with Guccifer's attorney. Would you donate to a fund to free him if we got #HillaryEmail out of the deal?
RT @DRUDGE_REPORT: Swiss First Ever To Issue 10Y Debt At  http://t.co/Ofcd3T0Ttv
"RT @CaptHat211: @Grummz 
Archive everything before SJWs delete it. Then share it w/ EVERYONE.
http://t.co/K07MJMptgJ
http://t.co/R1gtAyANnx…"
@media55 Maybe they can make this piece of shit company finally make money.
"@HisFeministMama Do you liberal retards really take the position that people are born gay, but gender is somehow a choice? Insanity."
@HisFeministMama They should just call them by whatever they were born and dispense with this charade.
RT @NickTimiraos: The jobs disappearing from the US economy are the ones with routine tasks http://t.co/XPq6GS9wVN via @JoshZumbrun http://…
#Bitcoin #scam being promoted in the name of @coinbase via mass spam email. http://t.co/MTVDnzXLpu
"@Forbes Lengthy my ass, iOS 8.2 was just released a couple weeks ago."
RT @angeldwein: MT @ChristiChat: #WakeUpAmerica - It's Rotten to the #CommonCore. http://t.co/Xo26sKArVM #PJNET
"RT @StoppingLies: #Sadpuppies be prepared to be called rape apologists, rapists, misogynists, worse than ISIS, etc by the SJW fascists. Don…"
"RT @mombot: Hey @Kotaku, this 3-year study concluded that games do not cause sexism. Why are you not reporting on it? #GamerGate http://t.c…"
@Pegidizer Nobody wants this shit.
RT @Pegidizer: #SchauspielerHorstKrause rechnet mit Multikulti ab #HorstKrause #pegida http://t.co/EyK7enGOiO http://t.co/NOrzQ7oDZo
@RT_com Kangaroo court.
"RT @GodfreyElfwick: ""Evidence"" is a white cis male invention which enables them to always be right.
""Evidence"" doesn't mean shit in the rea…"
@GodfreyElfwick is this the original or did someone actually say this and mean it?
