"Dzhokhar Tsarnaev found guilty of Boston Marathon bombing

http://t.co/AR3KbHrePC @dulaney_l"
RT @RandPaul: Lunch in New Hampshire means the dollar menu /spending wisely https://t.co/6xmmPYOttm
RT @petefrt: Vets deprived of hospital choice for same reason children/parents deprived of school choice: UNIONS http://t.co/f6LEzw9E6F #tc…
RT @RawStory: Elizabeth Warren tells Conan: The government should not be profiting from student loan debt http://t.co/Ka0Th2Gipf
"RT @RawStory: #WalterScott’s father responds to shooting video: ‘When I saw it, I fell to my feet and my heart was broken’ http://t.co/QS2D…"
@Support it's been happening for a few days.
@Support I am trying to follow back and I keep getting this error.whats wrong?? It happens every time I try to follow http://t.co/EOByMpoUxm
@dulaney_l I'm not blocked at all it just won't let me follow someone who just followed me.
RT @AndyWendt: Radical Islamist preacher in US allowed back online... http://t.co/llLly6d86f // Reminded #SecureTheBorders #tcot
"RT @hale_razor: I don't know Obama's faith, but Christians don't usually bash Christians at a prayer breakfast."
RT @TheRebelTV: http://t.co/UJjtx8ZfEm West Bank: Palestinian stabs 2 soldiers before being shot dead #Israel http://t.co/T1G0eTLhqe
RT @gerfingerpoken: Obama Leaves U.S. Marine Amir Hekmati Behind In Iran http://t.co/Cia9rCk1qN #FreeAmirNow via @IBDinvestors http://t.co/…
Can you get blocked from adding friends on twitter? I keep getting an error message. @dulaney_l http://t.co/QqDZP90hn5
RT @NaughtyBeyotch: RUSSIA HACKS WHITE HOUSE ➠ Spy Ships Operating Off US Coast ➠ Video – BB4SP http://t.co/zc3iIrZVNN
My idea of cutting gov. Spending  is to cut salaries in DC. That sounds great!
"RT @CathiStephens: @RedNationRising @RedStateScott @StateDept @JohnKerry @Senate_GOPs @HouseGOP @RandPaul @tedcruz45 @greta

#FreeAmirHekma…"
RT @RealRightyGirl: #FreeAmirNow -Please send a letter to Congress DEMANDING ACTION! #tcot #conservatives https://t.co/6ls8YGL3mu - TY :) h…
RT @RealRightyGirl: @greta Please help #FreeAmir - Send this letter to Congress NOW! https://t.co/6ls8YGL3mu  #FreeAmirNow http://t.co/Prs4…
RT @RealRightyGirl: @Montel_Williams Please help #FreeAmir - Send this letter to Congress NOW! https://t.co/6ls8YGL3mu #FreeAmirNow TYVM! h…
"RT @CathiStephens: @gerfingerpoken @SototG @IBDinvestors @StateDept @JohnKerry

#FreeAmirNow
#MarineHeldInIran
#ReleaseAllAmericanHostagesN…"
