RT @PoliticalLaughs: It Is Difficult to Free Fools From Chains They Revere ⇒ http://t.co/IqgO1bqIfz
RT @Koksalakn: - I love it   .......................... http://t.co/MLh8G7b2i3
@conradhackett @Rebeksy so?
"@NoahWehrman wow, who knew Brian Williams was a Freakazoid"
"RT @NoahWehrman: Marvels one longtime NBC correspondent, recently departed: “Brian was obsessed with whether Mitt Romney wore Mormon underw…"
RT @petefrt: Fiorina: Lib environmentalists caused CA water shortage http://t.co/FGYlEwz1b8 #tcot #pjnet #p2 http://t.co/1P8ZvNGrQh
"RT @Jarjarbug: Obama slips... admits #Iran may be able to build a bomb, so Marie Harf (@StateDept Bimbo) is left to calm the masses http://…"
@Csinaco awesome
"RT @ChristiChat: #WakeUpAmerica 

P•R•O•S•E•C•U•T•E‼️

H•I•L•L•A•R•Y‼️

#HillaryEmail
#HillaryLiesMatter
#StopHillary2016 http://t.co/Qa3Cu…"
"RT @ChristiChat: #WakeUpAmerica

#RollingStone Epic Failure💣

Remember➰Teenage Rockstar❓

Is A Murdering TERRORIST‼️

#BostonBombing http:/…"
RT @LadyLNorth: I've come to the conclusion that @sallykohn is the greatest troll on the Internet. Nobody is REALLY this moronic. https://t…
"@cnsnews pompous twit, who can be ""less loving"" towards citizens than he has been? What does he think ""love"" is? Baby"
"@cnsnews I am speechless. There is only one thing to say to him, Fuck You, Drop Dead."
@irisflower33 @CarmineZozzora on week 150+ innocent Kenyan students gunned down viciously
RT @irisflower33: #Obama bashes #Christians during WH Easter prayer brkfast but won't acknowl. #ChristiansGenocide #WakeUpAmerica #tcot htt…
"RT @doctoratlarge: I strongly object to media being called presstitutes. Deeply insulting to prostitutes who never act as judgmental, sanct…"
"RT @M_E_Adams: Stupid things liberals say: Communism is great in theory, it just has never been implemented properly. #pjnet"
RT @7News: ICYMI: UConn beat Notre Dame 63-53 for a third straight championship title http://t.co/wH2LqZoihz #7News http://t.co/I1hOxauT9d
"RT @CarlToddHand: .@Coondawg68 If we give Iran ICBMs with only single warheads, rather than MIRVs, it will be a huge diplomatic success"
@politico @NickGass Traitor Muslim
