@WickedTuna @tjHOTTUNA
RT @ReuseRecruiting: #Bama has extended an offer to 2017 Brookwood LB Leonard Warner http://t.co/r6WIRV2EDO @AndrewJBone @RivalsWoody http:…
RT @UASignGirl: #ROLLTIDE http://t.co/583vF1B9Hi
RT @cnnbrk: Remembering the victims. #BostonBombing http://t.co/2Naf2gWzvT http://t.co/uQ4ak5Qc6u
"RT @ChristiChat: #WakeUpAmerica 

P•R•O•S•E•C•U•T•E‼️

H•I•L•L•A•R•Y‼️

#HillaryEmail
#HillaryLiesMatter
#StopHillary2016 http://t.co/Qa3Cu…"
RT @BamaPride143: Wide receiver Keyshawn Johnson Jr. among several recruits visiting Alabama on Wednesday | via http://t.co/nFLOj4QhXf http…
RT @irisflower33: #WakeAUpAmerica Who do u trust ? We must #protect2a and support #2a -Your right to bear arms.  @GOP  #tcot #PJNET http://…
"RT @spann: YES! This is why ""torcon"" and propriety indices need to go away. Total confusion. https://t.co/nVNpjP7m6n"
RT @DrottM: @ChristiChat    I am angry about OBAMA 's remarks.  These ChristIans are being slaughtered by Muslims!😡 http://t.co/GcmiyBTLRw
RT @theblaze: Mexican officials discover entrance to secret tunnel pointed towards U.S. hidden in a closet   http://t.co/d4HzpRoAzj http://…
RT @HouseGOP: Retweet if you agree: Congress should have final authority on a deal with #Iran. http://t.co/IjRXTzPZUd http://t.co/UluR8hrxhT
RT @GymDatBody: Working hard to be the best me I can possibly be! #motivation #realtalk
"RT @CecilHurt: Johnson: ""When the University of Alabama calls, you take the phone call."""
RT @RTRnews: #WhileOnCampus Nick Saban offers Newbury Park HS (CA) 2017 5-Star ATH @DarnayHolmes http://t.co/mMBZrGWp99
RT @DRUDGE_REPORT: CHENEY:  OBAMA WANTS 'TO TAKE AMERICA DOWN'
"RT @_MilitaryStrong: Happy Birthday to the man, the myth, the Legend: Chris Kyle http://t.co/hfc0WonJiz"
RT @Bible246: They will hand you over to torture you and they will kill you - Matthew 24:9
RT @keyshawnnnn: Alabama Visit #RollTide 🔴
"RT @NotLovelyTED: If you don't use your turn signal, I automatically assume you're a douche bag in every other aspect of your life."
RT @SupOurTroops: Not all heroes wear capes. http://t.co/ugbAA7odNE
