RT @Destinbeach22: @Texasjimj blows everyone's minds!!
"RT @just_old_joe: @Texasjimj @troyawalters I darn sure join.  I was a ground pounder yrs., ago. Slower but ready, &amp; steady.  Probably a bet…"
"@willneal131 @just_old_joe @troyawalters 
I think today, patriots outnumber brain dead liberals by a huge margin! Some Dems are waking up!"
RT @willneal131: @Texasjimj @just_old_joe @troyawalters  With Obama and Hill it is storm the winter palace. Libs will support her because t…
"@willneal131 @just_old_joe @troyawalters
That will never happen! Patriots will storm the polls!"
RT @willneal131: @Texasjimj @just_old_joe @troyawalters  Hill is the heir apparent. Heaven help us!
"@just_old_joe @troyawalters 
I wouldn't put anything past Obama! But, he had better not try or there will be a war &amp; I will be a general!"
"RT @just_old_joe: @Texasjimj @troyawalters who are the Democrats going to run. Is obuma going to override the law, &amp; run again?"
RT @MileHiLady52: @Texasjimj @DDrewry1 👊
RT @willneal131: @Texasjimj @just_old_joe @troyawalters  bingo!
RT @ramsey_brian: @Bella_DAndalora @troyawalters @Texasjimj   Its that new Common Core math
"RT @Bella_DAndalora: @travisbrowngolf @Texasjimj 100% correct. Jarrett ""we were watching him for years"""
"@MileHiLady52 @DDrewry1 
Very true!"
RT @MileHiLady52: @DDrewry1 @Texasjimj That includes smut sites.
"RT @MileHiLady52: @DDrewry1 @Texasjimj Yes, Ms. Dee! Sometimes it's teamwork. Guys fav pics, they appear on my TL, then I block the identif…"
"@jjwills2 @Bella_DAndalora @troyawalters 
True for some, but not all the new Republicans! They want to be elected on their merits like Cruz!"
RT @jjwills2: @Texasjimj @Bella_DAndalora @troyawalters and the GOP wants to win regardless how much they act like the dnc
RT @MileHiLady52: @OswaldMy @Texasjimj Double dittos!
RT @Bella_DAndalora: @Texasjimj lol!
RT @OswaldMy: @Texasjimj @MileHiLady52 Amen to that
