"@Linnlondon1 @BradThor @RollingStone disgusting, isn't it?"
"RT @PMgeezer: Those who ignore history are destined to repeat it!
#NevilleChamberlain #BarackObama 
#WinstonChurchill http://t.co/fZWN1XvBTN"
"RT @jybyrd420: Obama Does Not Mention Kenya Attacks, Instead Criticize Christians At Easter Prayer Breakfast #UniteBlue #LibCrib  http://t.…"
Maine Coach Forced To Resign After Sharing Facebook Post About Islam http://t.co/cMgwxhItW6 via @WestJournalism
@TheRevAl The only Rev that's never seen the inside of a church
@TheRevAl pay your taxes while you're there
@TheRevAl pay your taxes
RT @ThePatriot143: OMG 😂😂😂😂 Too Damn Funny✔️ . #HillaryObama #HillaryEmail #HillaryBenghazi http://t.co/axTe1n81i7
"@Kerryepp they can spin any number they want, just like the unemployment numbers BS"
Every American should be insulted with all the BS and excuses we're being given by the WH
@LindaSuhler @CarmineZozzora it just gets worse http://t.co/1BLAZbYiUU
"How can all these lies and deceptions ever be justified? Bergdaul, Fast &amp; Furious,IRS, Bengazi, on and on"
RT @LadySandersfarm: Obama's religion of peace. #tcot #stopislam http://t.co/MAwJsMiv28
@PresNixonUSA @MaydnUSA http://t.co/291QtjRyzi
@2AFight wake up America
RT @2AFight: 80% of U.S. Afghanistan casualties on #Obama's watch #tcot #tgdn #PJNET #sot https://t.co/4UUSxhI13I
@edhenry lights out at the White House since Barry was elected
@LeRouxNel @koolkat14215 http://t.co/YHYHkSykLR
@TheFix @CurtisKalin http://t.co/k5QPlNAGAb
"RT @TheFix: RT @CurtisKalin: ""So, that's why Barack told me not to play near that power plant..."" http://t.co/Rk7tcH9GZM"
