@Szwizzle Thank you for following!
"RT @WayneDupreeShow: Jury Reaches Verdict in #TsarnaevTrial 

RT for Death Penalty
FAV for LIfe In Jail, No Parole

#WakeUpAmerica #tcot #t…"
"RT @WayneDupreeShow: I watched the shooting video of #WalterScott and there is no justification for what happened. 

I support law enforcem…"
"RT @bartmckinley: Amos 5:18
 Woe unto you that desire the day of the LORD! to what end is it for you? the day of the LORD is darkness, and …"
"RT @WayneDupreeShow: I applaud the S.C Police Dept and District Attorney for their decision to arrest and charge #MichaelSlager 

#LetThePr…"
"RT @LifeLimits: The strongest people are not those who show strength in front of us, but those who win battles we know nothing about."
"@Iam360WISE @DeMooreField When stupid enters the situation, terribly bad things can and do happen.  Both parties acted stupidly.  One died."
"RT @DarleneHBrook: @Secret_Church 1/2 - ""Many #Christ-followers are meeting &amp; worshiping in secret.  Their devotion to God &amp; his Word is un…"
"RT @Real_Motivation: Only a wicked and perverse generation  seeketh after a sign ... 

Trust God"
"RT @_CFJ_: #FreeAmirNow
#USMC
.@Montel_Williams
@FreeAmirHekmati
@andyoaklee
@BossHoggUSMC
@RealRightyGirl
@Braveheart_USA
 http://t.co/mA2…"
RT @Liz_Cheney: Cheney: If You Wanted a President 'To Take America Down … It Would Look Exactly Like What Barack Obama’s Doing' http://t.co…
"RT @Shearere13: ARIZONA, HE'S RUNNING AGAIN .... PLEASE, YOUR COUNTRY BEGS YOU TO RETIRE THIS FOSSIL (There's a cons... - http://t.co/Ug5bC…"
"RT @nowiknowmyabcs: ""[Obama] has never missed an opportunity to miss an opportunity [to inspire].""

- @AndreaTantaros"
"RT @ChristiChat: #WakeUpAmerica 

P•R•O•S•E•C•U•T•E‼️

H•I•L•L•A•R•Y‼️

#HillaryEmail
#HillaryLiesMatter
#StopHillary2016 http://t.co/Qa3Cu…"
RT @MESellars: @steph93065 @Braveheart_USA @CalFreedomMom @CarmineZozzora @ChrisCoon4 @ChristieC733 http://t.co/f4L4lRX5KN
RT @JudgeJeanine: Last week I brought you 2 opens and your response was enormous! So from now on you can expect 2 opens! Good with you? See…
@weaselzippers @JRealmo Old rules allowing the post BM wiping of hands on burkas and man dresses still in efftect?
"@CatholicClimate Thank you for following, and God Bless!"
"@peddoc63  Mr. President, When I hear a leader who calls himself a Christian, lie as often and easily as you do, I get concerned too."
"RT @jgarvin30: This is what the lord of Heaven’s Armies says: “I, myself, have risen against Babylon! I will destroy its children a… http:/…"
