RT @lisa_toler: @iowahawkblog @Doc_JJK  Beheading would be appropriate. Slowly 😈
"RT @WJTV: Pot, weapons, more than $9K seized; 2 arrested http://t.co/pER1F3zJtb http://t.co/rMt66D5FwY"
RT @DollyParton: Find out who you are and do it on purpose. #Dollyism http://t.co/3s4eiaGv6D
RT @dallasnews: House tax-cut package would save average family $172 a year of sales tax http://t.co/ulKmmgLHWZ http://t.co/rNhbki8SBE
RT @clarionledger: Being against Obama is not racism: Letter http://t.co/Mk98uQd8Jg
RT @BostonGlobe: GRAPHIC: Details on each of the charges Dzhokhar Tsarnaev faced  http://t.co/fZ9Cy59so7 http://t.co/DYseURL85l
RT @bpaschal253: OUTRAGEOUS:  California liberals giving illegals more “free” stuff http://t.co/kN7gNRLPmh
RT @mashable: Hillary Clinton hires Google exec to be her campaign CTO http://t.co/9FXeEFIKPV
RT @crabblers: The FBI had this to say about the status of their unfinished investigation into the hanging death of #OtisJamesByrd http://t…
RT @TMZ: Frances Bean Cobain -- I Hate Nirvana ... and My Father's No Hero http://t.co/9pM6xHg1En
RT @AP: Millionaire Robert Durst indicted on Louisiana gun charges from March arrest: http://t.co/L8aes54XmQ
RT @GR8_2B_alive: Boston marathon bomber found guilty on all counts. http://t.co/3sNv8WmdRy
RT @ItsJustJill: BiBi's warning if and when sanctions are lifted against Iran's terrorist regime: http://t.co/ueyKRB6Wvp
RT @SpeakerBoehner: VIDEO: The Monkey in the Room https://t.co/SHBYLU17WV
RT @nypost: MORE: Dzhokhar Tsarnaev has been found guilty on all 30 charges http://t.co/eUwFSGspEW
"RT @PzFeed: Judge reminds jurors that these verdicts trigger Phase 2 of this trial - the penalty phase.

WATCH LIVE: http://t.co/FI29x3kTjZ"
RT @Reuters: Boston bombing jurors spent just over 11 hours evaluating Tsarnaev’s guilt in two days of deliberations: http://t.co/iooDl6X1GN
"RT @GlobeCullen: You could hear pin drop in courtroom throughout that long recitation of the verdict.
#Tsarnaev did not react, just read al…"
RT @bostonherald: Dzhokhar Tsarnaev convicted on all charges in Boston Marathon bombing trial http://t.co/Q3KKhJA2Fx
"RT @PzFeed: Judge tells jury their job is not over. No interviews. #tsarnaev (@michaelhayes)

LIVE: http://t.co/FI29x3kTjZ"
