RT @ChuckNellis: If looks could kill... http://t.co/X0quIm4BOH
"RT @2AFight: Disagreeing &amp; criticizing policy is not racism, #RaceBaiter's
#SGP #pjnet #tgdn #tcot #ccot #RedNationRising http://t.co/J3FrS…"
RT @bawlaw99: I made a small donation to Help Barronelle! (Arlene's Flowers) http://t.co/fBJom0PpzY via @gofundme
RT @readmikenow: @Patriotic_Me @KitzmillerLee Explains why MSNBC's ratings are in the toilet!
"RT @PJStrikeForce: MOST POPULAR VIDEO OF THE DAY!
VIcePresident #Cheney Speaks Out About Obama's Destruction🇺🇸 
https://t.co/ncvCW5FTPZ htt…"
"""@dictionaryevery: Today's Dose of WTF? http://t.co/hdTsQKFrO3 http://t.co/MVgPe6hkI6""  a fake ass or is it Photoshop"
@dictionaryevery @guide_factss what is she setting on is that a fake ass
"RT @Patriotic_Me: MSNBC urged protesters to go to white “safe havens” &amp; make white people feel “uncomfortable""
http://t.co/szZIKqGWed http:…"
RT @State_Control: @xxarea83xx @dadsagainstmda @TeaTraitors @MomsDemand Looks like #gunsense liars choke on demonstrable facts: http://t.co…
"RT @LindaSuhler: #BrianWilliams Blames Tom Brokaw for His Fall
http://t.co/rF1YPLwNVX
#SisterPatriots
#TCOT http://t.co/lvZaNLQFDS"
@ImpeachDeBlasio  be safe out there #BlueLivesMatter
RT @clorh12345: @KitzmillerLee @vicenews They have no jobs so this is all they have to do. OMG!
RT @Conservatexian: @KitzmillerLee @ThePatriot143 @steph93065 @FoxNews @gentlemanirish @CalFreedomMom @ImpeachDeBlasio @YoungBLKRepub http:…
@vicenews hang him now hang him now. That's what all you people want vigilantes
RT @sunbeltgirl: MT @jhodnot: Too many are rotten to the core. Time to #WakeUpAmerica ~throw out bad apples! http://t.co/Npuk1ucVuD #COSPro…
@vicenews he's charged with murder go home nothing to picked about
@CNNPolitics @wolfblitzer @CNNSitRoom ask him the same questions you would asked Obama.
RT @AmyMek: Send Them Back! Illegal children surge across border at highest rate since last summer https://t.co/oq8JwjOFmz #tcot http://t.c…
"RT @AmyMek: Sickos! Get out, Jews"" Spray Painted On Graves -&gt; Jewish cemetery in Poland vandalized - http://t.co/4LF7qT79qq #tcot http://t.…"
@AmyMek somebody needs a good ass thumping... And if they're Muslim shoot them
