@sallykohn why do liberals such as yourself always resort to lying?
"RT @conradhackett: 50% of America's wealth is concentrated inside the green circle

http://t.co/FLzgPOnOC2 http://t.co/znsAuhxGYw"
"RT @socialistmop: Those who try to coerce Christians are joined by a common bond:

*Intolerance*

Cartoon by @afbranco http://t.co/6yiZjHo8…"
RT @ThePatriot143: OMG 😂😂😂😂 Too Damn Funny✔️ . #HillaryObama #HillaryEmail #HillaryBenghazi http://t.co/axTe1n81i7
"#JohnMcCain claims that he's running again because of the mess we're in. Uh, John, you might be part of that problem.  Just sayin..."
#kirstenpowers restores my hatred of liberalism.
"#BillOReilly asking if #RandPaul2016 is too extreme? Too extreme? Has always described #Obama as #farleftwing, never as extreme! #WTF"
"RT @Teek3015: Through all the bad times I just smile, because I know the good times will come soon. It's a process!! 💯✊"
"RT @steve0423: We don't need more of the the same in Washington @JebBush aka Mr. #CommonCore 
#tcot #RedNationRising http://t.co/UyQEn1wdkd"
"RT @weknowwhatsbest: Obama is so sure he made a great deal with Iran that no one can know any details. Same reason his grades are sealed, t…"
RT @RWSurferGirl: Bibi may bomb Iran.  Obama can pin that on his legacy.
RT @RWSurferGirl: Kenya is so embarrassed they took down the 'Welcome To The Birthplace Of Barack Obama' sign at the airport. #tcot
RT @RWSurferGirl: America will survive Obama but may not survive the multitude of selfish ignoramuses that elected him.
"RT @mdj17: Record 56,131,000 Women Not in Labor Force
Women's Labor Force Participation at a 27-Year Low
DEMOCRATS WAR ON WOMEN
http://t.co…"
RT @WSJPolitics: Former CEO Carly Fiorina is disgusted with how CEOs condemed Indiana’s religious freedom law. http://t.co/wYVNNylL7c http:…
RT @AmyMek: Unreal! Husband of NYC Bomb Plotter Marched in Muslim Day Parade w/ Black Flag of Jihad http://t.co/FvDmZf2u1f #tcot http://t.c…
RT @CharlieDaniels: Jerusalem-home of the empty tomb. http://t.co/P3tGcP6BKZ
RT @NotKennyRogers: 38-1 also happens to be the current Vegas odds any Kentucky player steps foot inside a classroom again this year.
"RT @Bidenshairplugs: Breaking News: Eric Holder will launch an investigation into Wisconsin's alleged use of ""White Privilege"" to beat Kent…"
"RT @JusticeWillett: Ashley is displeased.
#WISvsUK http://t.co/vOR6NsjwSl"
