"@princesswahala 

One Causes More Dead Black Men...

Simple Math

But No Cool #"
"@princesswahala 

When Will #BlackOnBlack Murders Stop...

They Far Outweigh Police Involved Shootings

But A # Is Way Cooler

#TCOT"
"RT @SonnyBunch: The new TNR, your go-to spot for limp biscuit ""jokes""! Intellectual journals have never been better! http://t.co/0wyeUUbQDY"
RT @PeeteySDee: Oh my. RT @CuffyMeh: Whiter than Icelandic mayonnaise. RT @voxdotcom: Happy Voxiversary! http://t.co/napD5ckzto
"RT @AceofSpadesHQ: What happens in tuckus, stays in tuckus https://t.co/F7rTgVfTSI"
"RT @AceofSpadesHQ: RT @ChampionCapua Especially since Hall's real last name is ""Hohl"". #SoundsKindaGermanic | John Oates' real name is Guis…"
"“You heard so much foul language” in the Clinton White House"" ....http://t.co/qDnYWLLuYf

#LowClassScum

#TCOT #LNYHBT #NationalBeerDay"
"@MangusColorado 

&gt;&gt; http://t.co/lfXEHcnDqj"
"""The Clintons “Paranoid”...They’re Terrible Human Beings""..http://t.co/qDnYWLLuYf

#TCOT #LNYHBT #RandPaul #HillaryEmail #NationalBeerDay"
"DHS Admits: 40 American ISIS Thugs Have RETURNED to the United States..http://t.co/7U0mCgxG4a

#TCOT #LNYHBT #RandPaul #NationalBeerDay"
"#TCOT #LNYHBT #ISIS #RandPaul #HillaryEmail #NationalBeerDay 

Reality In Our Schools Today...

&gt; http://t.co/YNwuJ1l81L"
"#TCOT #LNYHBT #ISIS #RandPaul #NationalBeerDay 

The Reason Why Christians Are Always Targeted 

&gt;&gt; http://t.co/S3TGbNBvLE"
"#TCOT #LNYHBT #ISIS #RandPaul #HillaryEmail #NationalBeerDay 

****delete*****

&gt;&gt; http://t.co/Wvz8gxXsno"
"Barry University Suspends Student for Helping James O’Keefe Make Exposé Video...http://t.co/cdN3qwPuvw

#TCOT #LNYHBT #ISIS #RandPaul"
"RT @drscott_atlanta: We don't see soup lines today because welfare checks are electronic! But don't be fooled the economy is bad!

#tcot✨ h…"
"New Agreement Can’t Stop Iran From Building Nuclear Weapons…http://t.co/kKakGg9PjI

#DealOfTheCentury

#TCOT #LNYHBT #ISIS #RandPaul"
"There's An Indictment In Schumer's Future...http://t.co/OBUUSW5urF

#TCOT #LNYHBT #Menendez #RandPaul"
"@soochaytuh 

LIAR  !!"
"ICYMI..http://t.co/KUaPKTuyYv

The WH Feeds Racist Tax Cheats..#Sharpton

#TCOT #LNYHBT #HillaryEmail #RandPaul"
RT @Babbsgirl2: Common Core Math Logic... http://t.co/4mUHnU7pah
