"Things I trust more than Obama.
#NoTrustNoVerify http://t.co/ZdCSlJXFSM"
"Dick Cheney - Obama worst president ever!
http://t.co/tK1KJf6LhR"
"NASA says they will find alien life. Have they checked DC?
http://t.co/eJCEqcpdgF
#TheyWillMakeItUp"
"Russia hacks WH? Is this the 'more flexibility' Obama promised them?
https://t.co/5rHldf447F
http://t.co/0YeBPooPI4
#ObamaTraitor"
"http://t.co/c9PDng0IVz
Very likely Hillary server fiasco led to hacking of State Dept and WH servers.
#HillaryEmail #criminal"
"http://t.co/c9PDng0IVz
Very likely Hillary server led to hacking of State Dept and WH servers.
#HillaryEmail"
"How likely that Hillary server led to breach in WH security? I'd say very! http://t.co/KtVHB7WPdT
#HillaryEmail"
"Liberal political class consistently escapes law &amp; order.
http://t.co/x5Q11AMW2J"
RT @kin2souls: MT @jstines3: Before I formed you in the womb I knew you; before you were born I set you apart. http://t.co/qtMe6RvynY #Rene…
RT @AnneBayefsky: A kumbaya moment at camp #Obama. http://t.co/qIvII4ntsY
RT @TrucksHorsesDog: A society that doesn't value life will fail from the womb to the grave. Guns are just tools #ProLife #WakeUpAmerica ht…
"RT @jstines3: MT @jstines3: Obama just LOVES all his America hating buddies, both foreign and domestic! http://t.co/fldVaXihF1 #WakeUpAmeri…"
"EXCELLENT book, recommended reading for Christians.
http://t.co/JkfE8rh0pc
#tcot"
"RT @ChuckNellis: Respect is earned, lost or never earned in the first place. http://t.co/oeWdft51qG"
RT @HeatherGrantNC: #2A applies to all citizens and no branch of Gov't has the authority to infringe on our right to keep and bear arms. ht…
RT @USFreedomArmy: Wow! BO is inconsistent - what a shocker! Enlist with us at http://t.co/KUHT60Yh4j. View some truth on the website. http…
RT @betseyross: Liberals May Regret Their New Rules -Kurt Schlichter http://t.co/apreIW2wl6 #txpolitics #ncpol #scpol #RFRA #MemoriesPizza
"RT @AppSame: God Bless Everyone on this Easter Sunday 
We hope each of you have a wonder day http://t.co/7tNDdLYjOa"
RT @dougducey: #HappyEaster to everyone. I hope you have a blessed day with family and friends. http://t.co/Ek6tEZzHto
RT @YoungBLKRepub: 🎉 Congratulations @BarackObama you made it official today! Under America's first Black President a record amount of Blac…
