"@DRUDGE_REPORT More like a short putt, actually, but good news!"
"@Onelifetogive Yeah, as opposed to the small words and small thoughts we get from this president."
Failed before it even starts. Only Obama could accomplish that! // Failed Framework on Iran http://t.co/SNZOXmptwA
RT @GR8_2B_alive: Boston marathon bomber found guilty on all counts. http://t.co/3sNv8WmdRy
"@Conservative_VW  Per @KevinNR , ""we are all Marie Harf"" !"
"@Conservative_VW This is almost (not quite) beyond parody,,,  :-)"
"RT @Conservative_VW: Does Everybody at the State Department get BONUSES at the End of the Year?😏

#ineptocracy  

#ConservativeVW http://t.…"
"@MailOnline Serious world problem now solved. And yes, that's sarcasm."
RT @AnthonyBialy: Boston bomber guilty of refusing to cater gay wedding
RT @TwitchyTeam: Rolling Stone asked to comment about fate of their 'rock &amp; roll jihad cover boy' Dzhokhar Tsarnaev http://t.co/8T6Y8mdyhA
"RT @PMgeezer: Those who ignore history are destined to repeat it!
#NevilleChamberlain #BarackObama 
#WinstonChurchill http://t.co/fZWN1XvBTN"
"RT @Stonewall_77: Term Limits Please!
#WakeUpAmerica @ericbolling #tcot #P2
@ChristiChat @jjauthor @irisflower33 @LindaSuhler #pjnet http:/…"
Ugh. Obama's 'Historic' Iran Deal Falls Apart As Mullahs Rev Up High-Speed Centrifuges - Breitbart http://t.co/Hh3iUzrodA via @BreitbartNews
RT @irisflower33: #Obama: I'm 'Concerned' By 'Less-Than-Loving Expressions By #Christians'. #WakeUpAmerica #ImpeachObama #tcot #PJNET http:…
"RT @Conservative_VW: We Have a Dream ...

#ConservativeVW http://t.co/f64Mx2Bp5A"
"@PJStrikeForce Well that didn't take long. Gotta love the mullahs, they seem to enjoy toying with The One."
"RT @Rockprincess818: we need a candidate who will take us back to the limited gov, separation of powers, checks &amp; balances of the original …"
@jpodhoretz Especially on day 2 with a female reporter. This is nothing compared to what will come his way soon enough.
@thehill Does he like Bibi or something?
"RT @LHolloway2: Oh. Must be great to be king. What a bunch of crap. 😬
#WakeUpAmerica #WeDontDoKings 

 http://t.co/hwjDdtRUUH http://t.co/S…"
