"1st @SabrinaRErdely, then #Tsarnaev. Bad season all around for @RollingStone. #BostonBombing"
#Tsarnaev guilty on all counts. @hardball_chris still thinks a white guy did it. #FreeJahar #BostonBombing
#FreeJahar still silent post-#BostonBombing verdict; but wait until the junior high schools let out.
"#BostonBombing Tsarnaev guilty on all counts. Obama huddled w/minions; trying 2 figure how 2 mention it w/o saying ""Islamic"" or ""terrorism."""
#BostonBombing Islamic terrorist Tsarnaev guilty on all counts. Rolling Stone devastated at fate of their favorite cover model.
"@umich: American Sniper ""unsafe"" 4 students. Btw: Support cop killers &amp; Jeremiah Wright: get tix 4 ""Common,"" live on campus next month!"
"@umich cancels American Sniper screening b/c the kiddies are far too delicate. ""University of Michigan: Raising tomorrow's Democrats today!"""
@TwitchyTeam Looks like @sallykohn picked the wrong day to stop sniffing glue.
"Starting to feel kinda bad 4 @sallykohn. Wait, she says SHE'S the victim? Aanndd - I'm over it.  @BenHowe @AG_Conservative @charlescwcooke"
@TheDemocrats I'm pretty sure they're located near the Atlases &amp; how-to books. #57States #GulfCoast #HillaryEmail
"@TheDemocrats: Dick Cheney is insane! 
Iran: ""No. He's not."""
"@UMInvolvement make sure it's not Paddington Bear: 3D. ""The Bear is COMING RIGHT FOR US!"" @Mashon45"
Real reason @PPact hates Rand Paul: all that medical training &amp; he hasn't aborted a single baby.
"""You ppl R 'Rape Deniers!'"" - @TheDemocrats 
""There's no need for 'campus carry!'"" - ALSO @TheDemocrats #UVAHoax #RollingStone #campuscarry"
@KurtSchlichter @voxdotcom @PeeteySDee @AceofSpadesHQ The Unbearable Whiteness of Voxing.
"Sorry, Rand Paul; looks like you're running w/o endorsement of @fakedansavage. Prolly means no NAMBLA votes, either. #OhNoes"
"And just like that, @tynanwrites was done as a ""reporter."" @DLoesch"
"No matter how deep you dig, you'll never find your credibility. #PutDownTheShovel @sallykohn @benshapiro @KevinNR @charlescwcooke"
@Rabiddogg @bossyhoneybee @sallykohn that low?
@Bipartisanism whereas cheekbones are genetic. http://t.co/WteNDBXKlS
