RT @MatarMalak: )A girl from Bethlahem 1860.1900(. http://t.co/4KnwGuQgyk
"RT @basemn63: On this day1948 Zionist gangs killed Palestinian leader Abdel-Qader Husseini defending his homeland.
#FreePalestine http://t.…"
RT @lana_palestine: Video: Vile israel settlers terrorize Pal family living near Jewish-only settlement.Via @ejma5 http://t.co/Rz0AwpAle1 h…
RT @lana_palestine: Israel issued family of Pal child detainee a visit permit dated after his scheduled release. http://t.co/Rz0AwpAle1 htt…
"RT @basemn63: On this day 1970 committed Zionist gangs Bahr elbagar School massacre in Egypt, killing 30 students and injuring 150 http://t…"
"RT @AbujomaaGaza: Israeli minister Bennett: “I already killed lots of Arabs in my life, and there is absolutely no problem with that.” http…"
RT @HackerBrigade: Israeli settlers attacked Mahmoud Batrokh 12 yrs in the city of Jerusalem earlier this evening. #Palestine http://t.co/m…
"RT @amon186: #ZIONISM IS A CRIME AGAINST HUMANITY
""@eddie1971nyc: 
#ZIONISM  MUST GO
http://t.co/qSqRsdKHvb""#BDS"
"RT @basemn63: في الزمن العربي الرديء أصبح حلم أطفال فلسطين الحصول على طرف صناعي
#جاوز_الظالمون_المدى http://t.co/BG0JHz9bIC"
RT @lana_palestine: Video: 'Gaza today is suffering from a catastrophe far more severe &amp;grave than 51days of war.' http://t.co/RGi0KZgGJo h…
"RT @benabyad: 67th anniversary of the Deir Yassin massacre, carried out by Zionist paramilitaries from Irgun &amp; Stern Gang. #Nakba http://t.…"
RT @latinopalestino: @manazirdeen @solioslo @the_right_stuph @ibrarBhussain @shaek066 @JopieSimone @upsadaisy3 @Alam0ora #FreePalestine htt…
RT @sporadefcb: Palestinian children after returning student a Home dad Ruth @lana_palestine @PelaoIsa @eddie1971nyc #FreePalestine http://…
RT @6echelon: #Zionist #settlers dig #Israel’s grave http://t.co/cvHqBLQO9A #FreePalestine #FreeGaza #EndTheSiege #BoycottIsrael http://t.c…
RT @SowterTracy: @JAlex96695300 muchas gracias amigo #Tibet IllegallyOccupied-Military force #China Invasion1949'genocide' @Tibetans http:/…
"RT @DrBaselAbuwarda: 3DAYS LEFT
Israel made many Gaza kids disabled in 2014
keep Gazas only disabled school running
http://t.co/Nn2y82872d …"
"RT @DanaQV: 😢 ""@Rubiconski: The village of Suhmata before it was destroyed in 1950 by jewish militias. 
#Palestine Remembered http://t.co/Q…"
RT @DotPolitics: Pro-Palestine hackers fund charities with stolen Israeli credit cards: http://t.co/9PiqIqDM2w http://t.co/lUJk9JUqow
RT @paleestina: Cuando un simple foto habla #israelTerorist @rico_hands @QCpal @178kakapo @GazaReports @latinopalestino @6echelon http://t.…
"RT @ISMPalestine: Salaymeh school in #Hebron closed today, as too much #teargas made staying in school unbearable. #FreePalestine"
