RT @setoo9: Quel talent !!! Mon frère a moi!! http://t.co/S2nZA7euHf
"RT @Senat_Info: Qui a créé #Daech ? Réponse du Général Vincent Desportes, auditionné au #Sénat http://t.co/KAkzYTppy7 http://t.co/TsHq0TZ2r3"
RT @SputnikInt: Cough up the docs: #Poland warned of court breach over secret #CIA jail http://t.co/Q71okFiy4m #TortureReport http://t.co/O…
"RT @TeamEtoo: Après le Roi d’Espagne et le Président de la Croatie, @setoo9 est le 3ème lauréat de cette médaille. Un véritable honneur pou…"
"RT @TeamEtoo: Champion !!! @setoo9 

#TeamEtoo http://t.co/m30ls5ve2w"
RT @ArretSurInfo: Les services secrets de l’OTAN savaient que l’intervention en Libye créerait le chaos http://t.co/2198o5Cmpj
RT @PassionFootClub: [#Anniversaire] Un max de RT pour Samuel Eto'o qui fête aujourd'hui ses 34 ans ! http://t.co/b6nhHMMgVr
@TeamEtoo HBD au grand 9. SET forever love  !!!
RT @FCBarcelona: Our former player @setoo9 turns 34 today. Happy birthday! Remember his best goals for Barça: http://t.co/KhPkGXwq9r http:/…
RT @OBYONETAOPY: @sputnik_fr rappelons nous ce qu'est l'EI et qui les a crée http://t.co/NPNWy4DDoZ
"RT @MoscowTimes: If you think independent journalism from #Russia is worth supporting, consider liking us on #Facebook: http://t.co/IQyTny3…"
RT @46addict: @sputnik_fr en tous cas c'est une armee régulière qui bombarde ses propres concitoyens ....
RT @rohanrai147: @PutinRF_Eng you are like a lion.we salute you.you are brave and courageous
"RT @engpravda: John McCain admits use of cluster bombs in Ukraine, says its US fault: Influential US Senator John McCain admi... http://t.c…"
RT @mggueye05: @France24_fr  le Pentagone qui dit des choses négatif sur #Poutine et les médias français la reprennent !!! CLASSIQUE !!!!
Elle est où la liberté d'expression française  ? N'a t il pas le droit de s' exprimer?
RT @JuliaZvonulia: @LeeWayneRyder @RT_com pilot for mission UN
"RT @surlenet: SUR LE NET - ""Tu siffles ta propre mère"" : les Péruviennes contre le harcèlement http://t.co/JVxA1XpGiQ via @FRANCE24 http://…"
RT @Footballogue: [#CAN2015] Belle image entre Maliens et Guinéens jouants aux cartes en attendant le tirage au sort ! http://t.co/96aBKEnn…
