RT @qmzp1436: خوش أمديد أهلا وسهلا بك بمسقط http://t.co/c92Wf1rbgo
RT @Syrianfalcon11: المساعدات الدولية للنازحين السوريين سيذهب ٣٧٪ منها لخزينة اللبنانية، وبالتالي لحزب الله، و ٥٠٪ ستوزع على اللبنانيين الف…
"RT @qmzp1436: سفينة الصليب الاحمر تتجه الى اليمن
نرجوا الحذر من #عاصفة الحزم تفتيشه قبل دخوله اليمن. http://t.co/FGSp8kTD3N"
"RT @qmzp1436: عاجل

المجاهدون يأسرون 150 من  قوات الأسد بينهم 50 ينحدرون من الفوعة الشيعية في ريف حماة.

 http://t.co/4aZdM73ODW http://t.c…"
"RT @qmzp1436: بداية الحرب الاقتصاديه على إيران

على دول الخليج ضخ كمية كبيرة من النفط في  الاسواق لخفض سعر البترول تحت ٢٥ دولار لتدمير أقتص…"
"RT @qmzp1436: @qmzp1436 

أيقاف التعاون تجاري مع إيران الذي يفوق ٤٢ مليار دولار وترحيل جميع الايرانيون من الخليج  الذين يتجاوزون ٢٥٠ الف إي…"
"RT @NASSSSERaLHARBI: #الشيعه_لو_يعلمون_لتسننو!!
فل نجادلهم بالتي هي احسن لعل الله يهديهم إلى الصراط المستقيم وبالادله والبراهين بدون لغو وح…"
RT @qmzp1436: قريباً بإذن الله تعالى تحرير الساحل و حماه ودرعا وحلب . وانتظرو الاخبار التي تثلج الصدر
"RT @qmzp1436: سبحان الله .
الحمدلله . 
لا إله إلا الله . 
اللهُ أكبر."
RT @qmzp1436: سبحان الله والحمد لله والله اكبر ولا اله الا الله لاحول ولا قوة الا بالله العلي العظيم استغفر الله واتوب اليه”
"RT @Alajmi98: تقدرون تلعبون معهم❗️

أنا من ناحيتي مستحيييييييييييييييييل😳

https://t.co/ASmERNiPCR

#عاصفة_الحزم"
"RT @Alajmi98: الجيش الأول إستهداف دبابة بصاروخ تاو ضمن معركة تحرير جدية❗️

http://t.co/F8no3cwxSI

#سوريا_مقبرة_دبابات"
"RT @alnassar_kw: انتباه
صاحب حساب “تركيا للعرب” رافضي

شاهدوا تغريدته، وغيرها كثير تدل على ذلك

أنشر يرحمك الله فمتابعيه كُثُر http://t.co/…"
"RT @jde_____12: #درعا_الجيزة
شهيدان من مجزرة بلدة الجيزة أخوة
وليد خالد سويدان
عبدالله خالد السويدان
حسبنا الله ونعم الوكيل ..... http://t.…"
"RT @Alajmi98: أسماء شهداء مجزرة الجيزة #درعا

لا حول ولا قوة إلا بالله العلي العظيم☝️

#الجيزة
👇👇👇👇👇 http://t.co/zhFf4DX9sj"
"RT @jde_____12: #درعا_ابطع  7.4.2015
استشهاد يوسف عبد المعطي النصيرات جراء الغارات الجوية التي استهدفت بلدة سملين اليوم"
"RT @jde_____12: ألوية قاسيون #درعا :  بيان انضمام لواء بني أمية و لواء الخندق ولواء الفاتحين #للجبهة_الجنوبية

 https://t.co/flchQcl5CA"
"RT @Alajmi98: سرية الهندسة التابعة لالوية الفرقان تقوم بنسف حاجز كفر شمس عن بعد⁉️

 http://t.co/Z00XxT5jrO

#سوريا_اقترب_النصر"
"RT @Alajmi98: @iranianaffairs: مواقع ايرانية تقول أن البرلمان الايراني يدرس تعليق إرسال المعتمرين إلى السعودية⁉️

أبرك والله وأسعد❗️"
دعَوآت للسَمآء☁️.. is now following me on Twitter! http://t.co/IFfMoGo1fJ
