RT @aijazkhan369: http://t.co/7Y93TED67K
"RT @Nighat04973659: The biggest mistake you can
make is holding onto
someone who has already
let you go."
"RT @gede_prama: The more u forgive, the more ur soul bloom
http://t.co/w45WpLwScO
http://t.co/vjaRC8lWi5"
RT @Tum55: don't chase temporary happiness
"RT @MrAlMubarak: Whatever challenge you’re currently facing, it’s no match for Allah. Keep your faith. Allah will always deliver the best f…"
RT @islamicfreedom: It is impossible to defeat an ignorant man in argument. Don't argue.
RT @Alhamdhulillaah: Putting others down does not lift you up.
"RT @Alhamdhulillaah: If Allah guides you to remember Him, it’s a sign that He loves you."
"RT @IslamicTongue: If you're 100 steps away from Allah, just take the first step and Allah will take 99 steps for you."
"RT @BKOislam: Forgive. You don't need people's deeds, you need Allah's Mercy."
"RT @topislamictwit: ALLAH knows who belongs in your life and who doesn’t. Trust and let go. Whoever is meant to be there, will still be the…"
RT @lNostalgic: I cared once. that shit fucked me up
RT @islamicfreedom: With your kindness you can touch the deepest of one's heart.
"RT @CherguiaMbark: All of a man’s happiness is in his being the master of his ego, while all his suffering is in his ego being his master.
…"
RT @solangeknowles: I've seen too many images of lifeless black bodies in too short a time. My heart aches for all of them. For their mothe…
"RT @4WordThoughts: ""wanting to be wanted"""
"RT @ou_natasha: Put aside your Pride,Set down your arrogance &amp; remember your grave."
"RT @Aabir_Sabeel: In your opinion what are the main problems in the Muslim Ummah today and how can we work together to solve them?

Share y…"
"RT @fxsting: every time I trust somebody, they show me why I shouldn’t"
RT @CherguiaMbark: Sadness weakens the heart diminishes confidence &amp; harms willpower &amp; there is nothing more beloved 2 the Satan than the s…
