#Beeline прекратите поддерживать агрессию и оккупацию против Азербайджана
#Beeline хватит поддерживать незаконный режим сепаратистов на оккупированных землях Азербайджана
#Beeline поддерживает незаконный самопровозглашеный режим армян
#Прекратить незаконное сотрудничество между «Beeline» и «Арцах Телеком»
#Роуминговое соглашение между «Beeline» и «Арцах Telecom» - вмешательство в телекоммуникации Азербайджана
#Beeline демонстрирует высшую степень неуважения по отношению к Азербайджану
#Экономическая деятельность с самопровозглашенным режимом на оккупированных Арменией территориях Азербайджана неприемлема
#Недопустимы контакты с самопровозглашенным режимом на оккупированных Арменией территориях Азербайджана
#Beeline прекратите поддерживать армянских сепаратистов
#Российский «Beeline» поддерживает армянских сепаратистов
"#Beeline ignorant to calls to stop its illegal penetration to telecommunication space of Azerbaijan
#boycottbeeline @beeline"
"#Beeline promotes aggression and occupation agnst Azerbaijan. 
@beeline_rus #boycottbeeline"
"Российский «Билайн» и швейцарский «Comfone» поддерживают армянских сепаратистов
#BoycottBeeline, #BoycottComfone."
"#Boycottbeeline. Beeline does't respect Azerbaijan's sovereignty, as such people of Azerbaijan."
"When u in roaming, never choose Beeline services. #boycottbeeline @beeline #befair money made you blame!"
"#Beeline ""Artsakh"" Telecom cooperation illegal. #boycottbeeline @beeline @Beeline_RUS”"
"Never use Beeline services, it provides mobile services to Karabakh. #boycottbeeline
@beeline"
"#Beeline did not learn international business ethics. #Karabakh is #Azerbaijan's territory. 
#boycottbeeline @Beeline_RUS"
"#When u in roaming, never choose #Beeline services. #boycottbeeline @Beeline_RUS #Azerbaijan"
"#Boycottbeeline. #Beeline does't respect #Azerbaijan's sovereignty, as such people of #Azerbaijan. #Karabakh"
