RT @MassDeception1: http://t.co/8fuywI1BDE
RT @YourAnonNews: @anon99percenter https://t.co/fWOt6aPMS6
RT @WGNNews: WATCH: Woman with cancer asked to leave Alaska Airlines flight http://t.co/R9bAgvOxzl http://t.co/DNx2MTvJRQ
"RT @CassandraRules: While everyone celebrates a murder charge, don't forget #KellyThomas. Murdered on video, cops acquitted. #WalterScott h…"
RT @StanAnon: Check out 'Walter Scott shooting' https://t.co/AWLVXJDjRL #Vimeo #walterscott #officer-involvedshooting America you need to b…
RT @AbbsWinston: Rabbis for Human Rights Sign Petition Against Israeli Demolitions and Planning Prevention for Palestinians http://t.co/XoC…
RT @TheMafiaJoe: Hillary Clinton hires Google executive as tech chief: Washington Post http://t.co/0ppDqM4yP6
RT @charlesfrith: How vulgar @Chirpys_Agent @athanaseus @MEastQuagmire @charIesfrith @TompkinsSheri http://t.co/Ppj3BnWzl3
RT @TheMafiaJoe: PoemPorns: http://t.co/jYvb2Y3qMw
"RT @YourAnonGlobal: Officer who shot unarmed man #WalterScott in South Carolina has been fired, mayor says http://t.co/JjxL8gMTya http://t.…"
RT @trutherbot: http://t.co/gopgOfAZuM
RT @OpChemtrails: OramTony nice view from my garden today in Widnes England http://t.co/1XhyNMLUE2 #OpChemtrails  #GeoEngineering
"RT @JoinTheMajority: Fox’s Lou Dobbs on #marijuana polls: 

""If the majority wants it, who could possibly resist?”

http://t.co/Ns1J5lwHwz …"
"RT @TheAntiMedia1: Federal Government Finally Admits Cannabis Can Help Kill Cancer Cells http://t.co/rukY4a86O8 
http://t.co/epixif1cAI"
RT @WyzeChef: He shot #WalterScott that many times because he wanted to make SURE he was dead. Sit with that for a moment.
RT @Dani4Peace: I was taught to love Israel: AKA- I was lied to &amp; brainwashed to love the fallacy of Israel http://t.co/nhd0wpzY5j http://t…
"RT @Rerpes: American Netflix DNS's if anyone wants them

Primary: 146.185.187.189
Secondary: 000.000.000.000"
"RT @absurdistwords: America: We do not need ""a discussion about race""

There are fucking cops killing us. Daily.

FIX IT OR SHUT THE FUCK U…"
"RT @cosmiclandmine: Asshole #Kansas governor Sam Brownass attacks women because he's a tiny-dicked coward
http://t.co/EVNmjefh5E
Sane women…"
RT @eligerzon: Thorough article from @nytimes: South Carolina Officer Is Charged With Murder in #WalterScott's death: http://t.co/PoN8qmsH5O
