RT @KOverly17: Thanks san diego for ruining my liver
RT @mirandeeezy: When you have a really great dream but then you wake up and realize it wasn't real and get so depressed
"@leahiscoolest ""ohhhhkaaahhyyy"" *scary old man voice*"
Working out with @leahiscoolest is my fave cuz I just laugh
RT @leahiscoolest: Nicks gunna try to make me puke tonight BUT I AINT NO BITCH
I can always tell if someone really has a traveler's heart when they react to me telling them I chose to spend a summer in China.
"RT @antijokeapple: 7th graders nowadays are worried about boys and drugs, when I was in 7th grade my main concern was how I was getting out…"
One of my favorite things in the world is talking to friends abroad and hearing about how their lives are being changed. #wheretonext
"RT @notorture: From @SenatorCollins: ""Torture is wrong and fundamentally contrary to American values."" #TortureReport #StopTorture"
"RT @SpongebobMemory: My friends in there! 
Congratulations.... http://t.co/EmWY19wEMO"
325 new DL #PR WHOOP.
@leahiscoolest I will tell my roomies it was an order from you LOVE YOU❤️
RT @leahiscoolest: HAPPPPY FREAKING BIRTHDAY TO @Jessmclaugh24 🌺👯💋 YOU RULE AND ITS YOUR BDAY SO YOU GET DOWN WITH YOUR BAD SELF AND PLAY 5…
@m_gusks is in his final semester of college and I'm teaching him how to make footnotes 😑
"RT @UberFacts: This year, it is estimated that March Madness will cost the collective American workplace nearly $2 billion due to distracti…"
"In movies and in shows why don't the characters ever say ""bye"" on the phone?"
@megancorletto I LOVE YOU BABIIIHEAD❤️
RT @megancorletto: @Jessmclaugh24's birthday is tomorrow! Donate to her awesome cause! https://t.co/uz3hQSqUWa
"RT @notorture: When you shop @AmazonSmile, Amazon will make a donation to Survivors of Torture, International. https://t.co/rVYqe42kfO #cha…"
RT @notorture: We pay tribute to those who devoted their lives or lost their lives to to promote #humanrights for all. #Right2Truth http://…
