"@omibrahem77 
امين يارب"
RT @a_rw994: اتمنى منكم الدعاء لأبن عمي مولود فهو بالعناية المركزة الأن 💘
"وعـدهـم ذاتَ مرّة برحلـةٍ جميلـة ،، فكانت الرحلـة إلى الجنّــــة""
#حسبنا_الله_ونعم_الوكيل
#بشار_الاسد
#ستندم""

#سوريا http://t.co/yIdr9evU5g"
"RT @hothifh86: البوعزيزي حرق نفسه ليشعل الثورة علی الظلم!!
بينما بشار حرق #سوريا من أجل إخماد ثورة المقهورين!! http://t.co/F5cCdcOq2W"
"RT @Salharbe777: @syria_children @hamam82 
لا أحدَ يَقدِرْ لحزمةِ الأعوادِ #كَسرا
ولنْ نرى مابعدَ العُسرِ إلا #يُسراً
ولنْ نرى مابعدَ الصب…"
"#محمد
خمس ساعات
تحت اﻻنقاض
استشهد اهله
 بقي على قيد الحياة يقول ل #بشار اقتل سوف يبقى جيل يبني #سوريا
#سوريا_المستقبل http://t.co/5DH29su2ss"
"RT @Altabtabie: الثوار يحررون منطقة إثر منطقة من أيدي نظام بشار  و #داعش تواصل إحتلالها للمناطق المحررة وقتل قيادات الثوار وتصفيتهم 

#داعش…"
"أميـرةٌ اشتاقــت لهــا الجنــة
فذهبت لتنتظر #رمضان هناك ..

#اطفال_سوريا
#طيور_الجنة
#عاصفة_الحزم
#سوريا
#داعش
#Syria http://t.co/rlp4jLGdJH"
"والله لن تزيدنا الإبادة إلا حبا بالشهادة
#اللهم خذ من دمنا حتى ترضى عنا""
#داعش_تهاجم_اليرموك
#داعش_خوارج_العصر
#سوريا http://t.co/mWEpbyoyv0"
RT @rtulip18: يا #سوريا فلسطين معاكي للموت.. http://t.co/LFzK9fc6lB
"#أطفالنا ينامون داخل #المخيمات في أقفاص كالدجاج ، وبؤس كبير.
ونساءنا حكايتهن تبكي
#مخيمات_اللجوء
#انا_سوري
#سوريا http://t.co/9YsrBxgOv4"
"RT @Abdullahnz2012: @hamam82 @syria_children  (مَنْ ذكرني في نفسه ذكرتُهُ في نفسي، ومن ذكرني في ملأ ذكرته في ملأ خير منهم)
#لا_إله_إلا_الله…"
"RT @hamam82: #سرمين .....

يعلوها صوت الأنييين 

#سرمين_تقصف http://t.co/XlTRLcW7iS"
"RT @Abomareaalshame: : شاهدوا حقوق الانسان التي تتغنى بيها امريكا الكافرة!!
طفل مسلم يتم تعذيبة فى #بورما على يد البوذيين!

منقووول http://…"
RT @JnHalab: استشهاد الأخ “أبو مارية” أمير #جبهة_النصرة في #مارع شمال #حلب جراء استهدافه بسيارة مفخخة من قبل جماعة #الدولة http://t.co/0NWH…
"لأجل #أطفالنا قامت #الثورة ولأجلهم ماضون حتى #النصر""
#الثورة_مستمرة
#الثورة_السورية
#ثائرون
#عاصفة_الحزم #سوريا #حمص http://t.co/sUSRf4miys"
"#صباحكم_حرية
يا #احرار #سوريا
صباحكم #بسمة
من #اطفالنا_اللاجئين
رغم #الألم يبقى #الأمل
#صباح_الياسمين
#عائدون_يا_حمص♡ http://t.co/90Uf3kFGKR"
"RT @hamam82: ياشام أيامكِ الجميلةُ سوف تأتي
 
تأتي حاملةً معها فرحةً تسرِقُ حُزنَك 

#سوريا_تتحرر http://t.co/Qn5fhS6QGx"
"RT @hamam82: لا تبكي يا صغيرتي فأن دموعكِ تُفرِحُ الحاقدين….

#أطفال_سوريا http://t.co/TNZ0aKQEnY"
"لا تنظروا إلى جسده #النازف ..

انظروا إلى عينيه كيف حبس #دموعه ليتحدى و يقول:

لن نستسلم

ننتصر
أو 
نموت

#سوريا
#حمص http://t.co/yHUMNH5UTP"
