The Rusch-Hour Daily is out! http://t.co/P1kaGFVkCw Stories via @phonegap @Weltspiegel_ARD
@jreichelt @jfkr_ Wie auch?
"RT @tazgezwitscher: AfD meint, die „Massenzuwanderung“ sei für Brandanschlag in #Tröglitz mitverantwortlich. Dort wohnt kein Asylbewerber h…"
und dabei blieb es :-) https://t.co/PGDo7HR3pd
"RT @Einstueckkaese: RT @sigmargabriel: Mit Vorratsdatenspeicherung tanken Autos Wasser, bekommen alle Menschen einen BMI von 18,5 und die S…"
"RT @ennomane: Lieber @sigmargabriel, was Sie da ""dumm"" nennen, ist die Pflicht jedes zahlungsunfähigen Schuldners http://t.co/36hHQflN89"
The Rusch-Hour Daily is out! http://t.co/hsFOxtIv0P Stories via @Oberhummer @blakehounshell @KaiDiekmann
"RT @DLF: ""Das war zuviel"": Ex-Bürgermeister ruft für 17h zur Kundgebung gegen Rechts in #Tröglitz auf
http://t.co/dewXFn0im8 http://t.co/ZA…"
The Rusch-Hour Daily is out! http://t.co/rZiP2k1A6j Stories via @wildsoundfest @BuzzFeedGermany @baumarktpflanze
Gabriel: Vorratsdatenspeicherung hätte NSU gestoppt - Digital - Süddeutsche.de http://t.co/19Iv3ZKLL7 via @SZ
Kinox.to-Gründer: Ermittlern fehlt noch immer heiße Spur http://t.co/8DxuhNWfU7
RT @JoergRupp: es ist nur #Tröglitz: http://t.co/FNmUJxy01h - die Bilanz für 2015 ist erschreckend
"Kommentar Brandanschlag in Tröglitz: Die Barbarisierung des Abendlandes  - taz.de
 http://t.co/YZsWk5ipkg"
April Fools: Math Class Shadow: https://t.co/A7vFNiY1dG via @YouTube
The Rusch-Hour Daily is out! http://t.co/kGeBt4kPEY Stories via @earthnews2020
"@aotto1968_2 @Tilo_Traub @CDU Doof, wenn man selbst betroffen sein könnte, gell?"
RT @flightradar24: NOAA Boeing P-8A Poseidon left a secret message in the sky above Dallas http://t.co/Q0rXKneDtD
"@AliCologne Quatsch, der ist in Berlin! ;-)"
Germanwings Absturz - mit Stefan und Florian # MARIES STAMMTISCH: https://t.co/fuAvjF7Bk1 via @YouTube
@reinboth @Volker_Beck in ganz dunklen Stunden wünsche ich mir die Vogelfreiheit für Nazis... bin selbst erschrocken!
