Had a eggpland sandwich from @gustgallucci for lunch and it was the most wonderful thing
RT @MilitaryHealth: .@NPHW We need to further educate about effectiveness of vaccines: http://t.co/thVwx27tNn #NPHWchat
RT @CapehartJ: Michael Slager: “He grabbed my Taser” http://t.co/5NnAGPrLiD
RT @Forbes: Delta now promises to deliver luggage from domestic flights to the baggage carousel within 20 minutes: http://t.co/000Jres2Cu
"RT @DiscoverMag: This experimental battery takes just 60 seconds to charge, and holds it for a long time: http://t.co/Qnwwy25i8u http://t.c…"
"RT @shiftmsnbc: LIVE: Tsarnaev found guilty, faces death penalty trial: http://t.co/VoAQ7XZgv8"
"RT @symantec: Internet of Things devices lack fundamental security, study finds
http://t.co/UJM8GlNAi2 #IoT http://t.co/LDtS1Bi5XY"
"RT @HuffingtonPost: BREAKING: Dzhokhar Tsarnaev found guilty for his involvement in the 2013 Boston Marathon bombing, faces death penalty"
RT @Success_Msgs: Delicious Desserts That Won’t Ruin Your Diet - http://t.co/EqRo9yAZjP http://t.co/eR0oqFFdCQ
RT @MacJoFit: RT @2morrowknight: 13 Ways You Can Have More Meaningful Conversations http://t.co/HFmrqHLudA RT @Forbes
RT @lifehacker: The periodic table of sweeteners compares all different kinds of sweeteners: http://t.co/YJUEbiYREe http://t.co/WaHS9s2Zdi
RT @MilitaryHealth: .@NPHW Check out our 2015 JE Awareness Campaign to ensure vaccine compliance: http://t.co/jC4ET8T5bg #NPHWchat
RT @SecurityWeek: US Embassy in Lebanon Victim of #Cybercrime http://t.co/DzsAq82WRO
RT @SierraRise: Ecuador's president is racing to sell off the #Amazon rainforest to the highest bidder for oil drilling. Act now! http://t.…
RT @WIREDScience: Why wasabi hurts. (The answer might lead to new pain meds.) The way they figured it out is cool. By @StocktonSays http://…
"RT @WIRED: A clever shock-absorbing bike wheel, now for wheelchairs http://t.co/FIJS8woXTn http://t.co/dTYbqpDDrR"
RT @FastCompany: How The Grid will automate web design without killing the designer http://t.co/IooiG43Cra http://t.co/saAj6yKRen
"RT @HISTORY: The Rosetta Stone is inscribed with an ancient decree written in 3 languages: Greek, demotic and hieroglyphics. http://t.co/c5…"
RT @CompTIA: Take the #CompTIA Server+ Beta exam by April 16 to get certified for just $50: http://t.co/8Hlt7uhfP0
RT @NWF: No Joke – Oil Still Contaminating Louisiana Coast: http://t.co/bAXsiny5nt http://t.co/RDkoXLfYne
