Reminder that #abortion care doesn't involve any babies. But lack of #abortionaccess kills people. #prochoice IS #prolife #WarOnWomen #1in3
#Prochoice aren't the ones murdering people. But this guy sure wants to! #ProLife #abortion #1in3 #WarOnWomen #tcot http://t.co/0RoyQouMuR
#Prochoice aren't the ones murdering people. Numbers speak for themselves. #ProLife #abortion #1in3 #WarOnWomen #tcot http://t.co/RKEP1hNcY4
I wonder if they'd be OK with 3-days waiting period for guns? http://t.co/CyBP3wHPGJ #prochoice IS #prolife #abortion #misogyny #1in3 #fem2
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/ucv5S2dNj9
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/1VsOO4lCfb
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/fKZPjFnLpO
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/Kao9vybDnJ
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/q4WgHWeYrr
#pregnancy #mentalhealth #abortion #prolife #prochoice #aus #auspol #australia #foetalpain #pregnancyhealth #1in3 http://t.co/KlQouuNmzt
"RT @yungmelrod: Every woman should have the option to have a safe abortion. You do not own her body, you should control her choice. #Kansas…"
#prolife #prochoice #abortion #infanticide #auspol #aus #mentalhealth #womenshealth #repealthe8th #feminist #fem2 http://t.co/19FzCPKzSu
"""#Postabortionstresssyndrome"": one of those #antichochoice myths http://t.co/LyOae5j0yw #prochoice IS #prolife #womenshealth #mentalhealth"
#PostAbortionStressSyndrome: it doesn't exist http://t.co/I5C5Cz7wAG #womenshealth #mentalhealth #prochoice IS #prolife #Australia #auspol
Post-#Abortion Syndrome: it just doesn't exist http://t.co/I5C5Cz7wAG #womenshealth #mentalhealth #prochoice IS #prolife #Australia #auspol
"""Post-#abortion syndrome"": one of those #antichoice myths http://t.co/LyOae5j0yw #prochoice IS #prolife #1in3 #womenshealth #mentalhealth"
6 Modern-Day #Christian Terrorist Groups You Never Hear About http://t.co/NzgCfQfJNG #religion #prochoice IS #prolife #abortion #terrorism
Lying epidemic of CPCs. #prolife #prochoice #auspol #australia #abortion #pregnancyhealth #mentalhealth #pregnancy http://t.co/NSWaWR9xlH
Why are #antichoice guilt-tripping people who have an #abortion? http://t.co/q8wD6PWEw7 #prochoice IS #prolife #WarOnWomen #1in3 #auspol
CPCs: religious fanatics who delight in controlling + shaming women http://t.co/bctclA8clw #prochoice IS #prolife #abortion #repealthe8th
