RT @Bill_Gerrard: @chuckcjohnson http://t.co/V22VkBj8qN
@RobertZFenwick @ChuckCJohnson Preferably people with autism who aren't' racist misogynists.
@MonkeyWithKeys @10ehC @ChuckCJohnson LOL
@ChristianHeiens @ChuckCJohnson I thought you libertarian boys believed in freedom of speech. Next time I'll ask his highness' permission.
"RT @LMAOpolitics: I wonder if #FoxNews is going to talk about this thug, liar &amp; a murderer? 

#WalterScott http://t.co/iNZpJkh7T4"
@RandPaul From what source did you plagiarize your announcement? #uniteblue
"@ChristianHeiens @ChuckCJohnson If you believe the opposite, you are wasting your time here."
"@ChuckCJohnson Don't worry, Chuck. Some you'll find some irrelevant detail that will allow you to blame the black victim."
RT @10ehC: @ChuckCJohnson You could start by watching the video. Here's a link: http://t.co/d9Vdxi6VY1
"@ChuckCJohnson @exis10tial But Chuck, you only believe in due process for white people."
"@ChuckCJohnson Unless it's a black person shot by white police officers, then you assume that the black guy was guilty and a criminal."
"@ChuckCJohnson Your life is pretty much a tangled web, Chuck."
@ChuckCJohnson Will Kim Jong Un endorse #TedCruz because of his support for authoritarianism and no voting rights?
"@ChuckCJohnson @ChristianHeiens Chuck always supports the killing of black men, and the raping of white women. That's just his value system."
"@ChuckCJohnson @Bill_Gerrard Chuck, you are almost always wrong!"
"@TrustedTrevor @Femikrit @ChuckCJohnson Well, I'm certainly skeptical of your unfounded assertions."
"RT @WorkingClass101: #KYSen @RandPaul and the #WarOnWomen 
#uniteblue #p2 #1u #CantStandRand 
#tcot #teaparty #veterans #teachers http://t.…"
RT @JJManring: .@laureldavilacpa @petitethirty1 http://t.co/wJnmySn8cg
"RT @EndNRA: Suspended Texas Officer Accused Of Sexual Assault Shot During Dispute   http://t.co/ogdCRcB9xU
 #UniteBlue #GunSense #ENDTHENRA"
RT @OthewhomaniT: #CantStandRand because he sided with the American #terrorist &amp; #racist Clive Bundy #bundyranch http://t.co/1HAl3TTdpb
