RT @Ironyisfunny8: CAUTION: GRAPHIC VIDEO http://t.co/XU2Az2QEJi #BlackLivesMatter
#NiggaNetwork #WhiteGenocide #BlackLivesMatter #feminism http://t.co/KVgQyfta4G
"RT @Crutch4: ""Take back our county"" folk be the worst white supremacist. They just couch their white supremacy in nationalist language."
RT @moneyballa69: Yo #NiggaNetwork we be working on that #WhiteGenocide building a #NiggaNation we gunna make it. http://t.co/IKoAzdwgNJ
RT @DaeDaeMichael: #NiggaNetwork we traded our iron chains for gold chains. http://t.co/N1y5ZJbdmZ
RT @WhiteyMustDie: This is a youth minister at the GOCC https://t.co/ju4Uw7ryek
"RT @ChadJordan23: White girls might not have the biggest butts, but they do have the strongest knees."
whitey killing us 4 thousands a years Jesus died 4 BLACK ppl. all whites finna burn in HELL #NiggaNetwork #GoodFriday http://t.co/UNqNDfhHw4
"RT @jitterbug212: @CapnBlackwood well, Darkknob, SOME of their women have been well ravished - that's partly what makes them so insecure. ;)"
RT @slangincrack: 4 my niggas #NiggaNetwork http://t.co/HAFcE0vNIb
RT @DaeDaeMichael: Lets deconstruct white supremacy #NiggaNetwork
RT @WhiteyMustDie: @TheHHHorrorBlog @CapnBlackwood @MysteriousTruth But we do not aim to kill whitey all by force. We aim to kill through i…
@CapnBlackwood @mykeemm @crackrockzmoney @francine069 @lmchristi1 @Trill_Wilson420 Ay son dont fuk wit the Rev u racis honkey #NiggaNetwork
"@crackrockzmoney @HommerGSimpson white boi a racis terrorist, best show sum respect 4 the president #BlackLivesMatter"
@HommerGSimpson this white boi angry af #NiggaNetwork
RT @HommerGSimpson: @LeeDarrion @crackrockzmoney when obama is put to death for his crimes.. enjoy it.. most of America will
"@HommerGSimpson @crackrockzmoney Go back to fukin ur sis inbred whitey, u racis as FUK. We own u now cracka #NiggaNetwork"
@crackrockzmoney @HommerGSimpson Ay this dumb honkey need to learn his place. This the Black mans country now redneck punk #NiggaNetwork
