@XiuXes @Piefos https://t.co/xw1wnuDpIq
"Rape apologist dean #WillemElias blames victim of sexual violence, university does nothing. https://t.co/NS17E3h8jH #vub #feminism"
"RT @Kristof_A: @JanHPeeters @Ashley_Vdk @courrierinter 
wat men het ook noemt
het blijft
misplaatst
kwetsend
stigmatiserend
onaanvaardbaar
…"
"@XiuXes I translated part of the story to (crappy) English, might be useful: https://t.co/NS17E3h8jH"
I translated the story so far in (crappy) English. Wow it sounds even worse while translating... https://t.co/NS17E3h8jH #vub #willemelias
"RT @kuchelnaar: #VUB verkrachter proff. #willemelias , kompleet ongeloofwaardig als je zo communiceert,#rector.ontslag is énige optie voor …"
RT @marilynrietveld: @Ashley_Vdk @VUBrussel ik hoop (en denk) dat meer mensen zich hierdoor gesterkt zullen voelen en aangifte doen.
RT @MillaPolitica: @Ashley_Vdk  Schitterend gesproken vandaag op #vtmnieuws en #terzaketv! @EvieEmbrechts @VUBrussel
RT @SafiaYachou: Vandaag heb ik voor #vtmnieuws kunnen praten met @Ashley_Vdk over  verkrachting en het taboe dat er nog over bestaat. http…
RT @Nu_En_Hier: El decano de la uni belga VUB #willemelias acusa del suicidio de un político a la mujer que le denunció por violación http:…
RT @Bernardvi: @pressfreedom Belgian University refuses to sack professor who publically condones #rape (twice!) #willemelias #stevaert @VU…
Petitie voor het ontslag van decaan Willem Elias https://t.co/4mxGjutTha #vub #willemelias #feminisme #prfail
"RT @ockhams: #willemelias krijgt slechts berisping van #VUBrussel  #SCHANDE #fail 
https://t.co/yWMFikeAwG http://t.co/1TNLNSnZor"
@VUBrussel u maakt een grapje neem ik aan? http://t.co/7wog9R7v1i Geen excuus voor victim blaming #vub #willemelias
RT @MillaPolitica: Vrouwen weten waarom (2). #willemelias #stevaert @VUBrussel http://t.co/LBxNQkWt5A
RT @Victor_VW: VUB-decaan #WillemElias al eerder minachtend over verkrachtingsslachtoffers http://t.co/syAAlH0IGT
@Passie_Kracht @Ashley_Vdk @SeksismeNL Petitie voor ontslag Elias: https://t.co/4mxGjutTha
Teken de petitie #vub #ontslag #willemelias https://t.co/sBOUpMDERu
@VUBrussel De slachtoffers van Willem Elias? #prdisaster #wanneerontslag #willemelias #vub
RT @6e4f76a8607e460: @VUBrussel Eerlijk gezegd niet neen. Ik kijk eerder uit naar jullie reactie op de uitspraken van decaan Willem Elias #…
