Just want to get today over with.
"RT @sloanftcaniff: If you have Internet friends you'd understand. Please rt it would mean the world ☺️💘 All I need is 5,000 😭 http://t.co/d…"
RT @itsModernFamiIy: *drops mic* http://t.co/pFk8PvXgMu
RT @girlposts: OHMYGOD I LOVE HIS WATCH 😍😍 http://t.co/aLB8noRmbH
RT @Oprah: no i'm not wearing a weave
One day I'll find someone that puts me first.
RT @itsParksnRec: Literally http://t.co/ycYdztDlvC
RT @always__already: Are You A #Feminist? Take This Quiz To Find Out Once And For All! http://t.co/Fkc5GvVJ47 via @bustle #feminism http://…
RT @TbhReginaG: Rihanna is savage 😭 http://t.co/jNJQJXOXsj
I so wish I was Monica right here😂 http://t.co/iN3kDGRLWD
Babes 💓💓💓 http://t.co/2MnIaocJOV
"RT @LanaParrilla: “@fabandco: @LanaParrilla on my MacBook.. ""A croquer"" isn't it?? 😜☺️ http://t.co/Ciy2YCOFpA” 👍👍"
RT @lynnnnnworld: Omg god you did it again 😍😍😍😍 💆 http://t.co/LLgWdXMMDk
"If you think that having a title is a free pass to treating those around you with disrespect, then you're in the wrong line of duty."
"Calm down, Bush.  😂😂😂"
RT @aalicesayss: damn it kim http://t.co/2pjCFFfR03
RT @WeNeedFeminlsm: Need a sign that rape is not caused by clothing? Here’s 4. http://t.co/2aQHpn0Xdo
RT @GloGawd: This the USPA version of Kim Kardashian http://t.co/Dj0s2XRZ0h
RT @WeNeedFeminlsm: Feminism is about more than dress codes and slut shaming so don't say it's not important http://t.co/mmcHjGZjev
RT @Its_North_West: This is great 😂 http://t.co/piOSmWqoIi
