@MrsCarterWorld 😂😂😂
@NoMaaam @feministxworld @_feminism_19  Maybe.... But I love @CHSommers
Time to fuck shit up CUZZ!!! #GTAV #GamerGate
@NoMaaam @feministxworld @_feminism_19 True. Rape is the main reason I'm a square. I can't give up my booty. I only got one. Fuck that 😂😂😂
@NoMaaam @feministxworld @_feminism_19 well then. The genders are not equal but essential to each others survival. 👋 #getoveryourself
@NoMaaam @feministxworld @_feminism_19 😂😂😂 you right. But I'm a square pimp and I've never been in cuffs so what's your point? #gybb
RT @NoMaaam: @IhateTw1tter213 @feministxworld @_feminism_19 u will in prison...
@NoMaaam @feministxworld @_feminism_19 do you not open doors either 😂😂😂
@NoMaaam @feministxworld @_feminism_19 I'm not going to prison. So what's your point?
@NoMaaam @feministxworld @_feminism_19 How can you say it's equal? I worry about #cops not #rapists
RT @NoMaaam: @feministxworld @IhateTw1tter213 @_feminism_19 if u had something to explain u would. U enjoy playing the victim role.
"@NoMaaam Oh so this is about me? Fair enough, can I get an answer?"
"@feministxworld Really? So showing cleavage is for you, not me?"
RT @feministxworld: @IhateTw1tter213 @_feminism_19 you shouldn't hit anyone. She doesn't want to not be hit bc she's a girl but because she…
@NoMaaam @feministxworld @_feminism_19 Do they have it easier or harder?
RT @NoMaaam: @feministxworld @IhateTw1tter213 @_feminism_19 feminism means women having all the rights that men do...which the DO today
You wanna see what real harassment looks like? @CIA @FBI @NSA_PAO @DHSgov @nytimes @latimes http://t.co/nUtj5Ab3Ou
Am i harassing you?  @femfreq @_feminism_19 @FEMlNAZI  @yuriprincess_ #FeministsAreUgly http://t.co/JKHZr0MRsL
"Remember kids. Even your own #Mother, can still be a #goofy #bitch #gybb 😂😂
@femfreq @_feminism_19 @FEMlNAZI http://t.co/lzdtc8eZzS"
@feministxworld @_feminism_19 Why is she wearing that if she doesn't want to be looked at? I can't #rape a #bitch with my eyes 😂
