@tomsaw200again @FCKH8 oh so we get paid the same?
👊👊 Girls just want to have FUN....damental rights. #LegalizeLove #FCKH8 @FCKH8 #feminism #EqualityForAll http://t.co/rr2BBKZJO0
@LoveAndKissesxo omg 🙈
@LoveAndKissesxo oh yeah we met at Aphrodite tour!!! 😂 crazy!!!!
👀 http://t.co/HfMfatOjml
Thanks http://t.co/TE54KZltsO http://t.co/bqWpWXah2U
@CharleyPC nothing worse!
I hate it when people say they're going to do something if they don't mean it.. I'd rather they just didn't say it.
@LoveAndKissesxo 😻😻😻😻
@beckygitsham_ haha exactly!! Kip Moore's face and FGL showed the others how it's done! lady A were amazing though
"@beckygitsham_ he was good but I was kind of let down, maybe I built it up too much because he was my favourite from the line up! 🙈"
RT @C2Cfestival: HAPPY EASTER FOLKS! http://t.co/qWLcmM1AWB
@beckygitsham_ they were amazing they totally blew Luke Bryan out of the water who kind of sucked majorly 🙈 &amp; he was the reason I went!
@beckygitsham_ they were like two hillbilly frat boys it was amazing
"@beckygitsham_ I went to c2c for Luke Bryan, Jason Aldean and Lady A but I've got to say my faves were FGL&amp; and Kip Moore! (&amp; Lady A)"
@beckygitsham_ oh man!! Haha thanks for getting back to me! Hopefully they come over again!
@beckygitsham_ had heard their music before but C2C just blew me away would love the see them again xx
"@beckygitsham_ hi 😬 thought you were the best person to ask this, do FGL do any UK shows for their Anything Goes tour or anything else?"
@holaitsjade Hawttttt 😻😻
@Lalitainlove hope you're okay! X
