@RichardDawkins @Iranianatheist1  https://t.co/3wHLpi4EYo
RT @KipawaLakePS: The dystopian lake filled by the world’s tech lust http://t.co/Qg9Jp4ce8g
"RT @alexhofford: Shocking that @AmericanAir are shipping hammerhead #shark fin from Costa Rica to Hong Kong!
http://t.co/H6dWqkxsqV http://…"
RT @Seasaver: The #Mediterranean is being fished to death. Help @TheBlackFishOrg take action http://t.co/MbmsvmtILc #overfishing http://t.c…
Reason number 2. #WhyILoveMyWife http://t.co/ors66mFirn
What is wrong with people?  https://t.co/03gcTw8rIC
'Jealous' aunt convicted of pouring super glue in infant's ears: RCMP http://t.co/Ds8HMP1Gfh What is wrong with people?
RT @CBCNews: Brontosaurus dinosaur could make a thundering comeback http://t.co/WhAvCuPDjs http://t.co/H0ZSI9N7uf
RT @Terror_Monitor: #Iraq #ISIS  Behead 4 Men Accused Of Stealing In #Mosel Iraq. http://t.co/Vw4xZh4DUC
"RT @LKrauss1: Ted Cruz declared Earth Sciences not ""hard science""-echoed by republican Senate Panel colleagues.Could they be dumber?http://…"
RT @EvaNeufeld: RT INSPIRING VIDEO! 98-Year-Old Proves There's No Age Limit On Helping Others. https://t.co/1Ya4IAWKSm http://t.co/rag4Qep1…
"RT @DeepSearch17: This is Iran
http://t.co/iWAga1hP3e …
http://t.co/Z4aS5AREEP
#YesAllWomen #Feminism #ShariaLaw #thisisislam"
@theism_sucks @yatinjpatel @PvtFraser @DAccampoFamily True theists don't allow fact or reality to intrude on their thinking. Just saying.
RT @theism_sucks: .@yatinjpatel I have yet to find any #theist who is prepared to demonstrate the existence of his or her #god or gods. /@V…
RT @Iranianatheist1: http://t.co/edYxU5qk7k
RT @Iranianatheist1: http://t.co/wMTKR3zBTi
RT @Iranianatheist1: http://t.co/ha8rl8l3uY
"RT @Terror_Monitor: #Yemen - Increasing violence in #Yemen, death toll 74 children killed &amp; 44 injured - @UNICEF http://t.co/uZDksrlg9n"
RT @Things4Strings: The importance of music education to a young mind - Barrington Courier- via @leeyieng - http://t.co/MUCNpEqZ9P
"RT @quranifyme: Want to be part of the Quranifanatic Army?  Get your gear here!

#atheism #atheist #secular #podcast #rt

http://t.co/Dzv7R…"
