@FaZeJPEX @Razer too bad i just bought one
@TamedInsanity gotta love that!
@TamedInsanity as long as you practice and hit the target youre good
@TamedInsanity A woman that shoots well is rare nowadays
@TamedInsanity I love this post and that shirt.
Feminism....#FeminismIsAwful  https://t.co/UaW4YFxVkT
@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin victim status.
@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin see thats why no one takes your kind of femininsm serious
@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin haha no you jumped all over someone with insults.
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin conversation.
"@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin honestly, i hope you do to, and maybe one day we can have a civil"
@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin youre merely a pest and all bark.
"@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin i said ""like a feral dog."" which means you wont ever go away"
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin shoe fits and all that...etc.
"@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin cute. Next youll tell me to KMS, id bank on it"
"@hammielemons @OliviaKimball3 @DannyWestside96 @XOXOzenzi @madbrah_godwin i feel like im back in middle school again with these insults, its"
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin Commander Insult.
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin you of all people preaching not to jump to insults? Okay
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin the best part is you didnt deny your self importance.
@OliviaKimball3 @hammielemons @DannyWestside96 @XOXOzenzi @madbrah_godwin but you interject your drivel and hearsay.
