RT @Sam_Hiemstra: A step in the right direction. #feminism #FreeTheNippel http://t.co/5RGSg7hALj
RT @JZarif: Found solutions. Ready to start drafting immediately.
RT @GovernorOMalley: http://t.co/JZGV8Vj4Iq
"RT @TheTweetOfGod: Being gay isn’t a choice, but living in Indiana is."
"RT @AnonyOps: “A shockingly high percentage” of prisoners in solitary confinement are mentally ill, “often profoundly so.” http://t.co/SjEN…"
RT @csoghoian: These are the safety tips for your smartphone that the FBI doesn't want you to see. (spoiler: encryption and PINs) http://t.…
"@drewinglis @cmkshama agreed, NYC is another example"
RT @tim_cook: Apple is open for everyone. We are deeply disappointed in Indiana's new law and calling on Arkansas Gov. to veto the similar …
RT @cmkshama: Please read this heartbreaking account of the real human costs of skyrocketing rents in Seattle. #rentcontrol http://t.co/yw8…
"RT @WhiteHouse: ""I’ve seen...gay marriage go from a wedge issue used to drive us apart to a story of freedom across our country"" —Obama #Lo…"
RT @emitoms: Friends don't invite friends to play candy crush saga.
"https://t.co/nvbcm9fobl this tweet is for class, please ignore!"
Ginger peach rooibos #kombucha with extra ginger #fermentation http://t.co/j5nSAfEHbp
"RT @AmandaWasabi: ""If it works for one organism, it works for another."" 🐠🍺 @AntonioSkilton"
RT @HarryCNN: I love stuff like this so much. RT @Amazing_Maps: Africa is HUGE http://t.co/yfyZS16ZQS
@emitoms but by the same logic aren't you complaining about the posts of people that you do not follow?
RT @CassandraRules: Oh Jesus http://t.co/vVxuk11bdn
"@CallMeEsteban @john_ingold @BuzzFeedNews even in Amsterdam, where it is merely decriminalized"
"@CallMeEsteban @john_ingold @BuzzFeedNews previously marijuana bought elsewhere was either medical, under decriminalization, or illegal"
@seattletimes my favorite bowl in Seattle! Was there just two days ago with @sunchyna
