Colonizers are ridiculous!
#ColonizerTactic - call an election before you table a budget
"""Recovering from shooting unarmed black people"" is not a colonizer objective."
RT @TheTweetOfGod: The first step to recovering from repeatedly shooting unarmed black people is admitting you’re repeatedly shooting unarm…
#ColonizerFrats - indignity based on hetero-patriarchy and misogyny!
"""why when we destroy something created by man...call it vandalism, but...destroy something created by nature...call it progress.’ Ed Begley,"
"Overpopulation, overconsumption – in pictures http://t.co/CfpZyHcJ5g"
"That awkward moment when the CFO thinks they are over you, the CEO, and it matters and doesn't matter!"
RT @_Indigenista: Love this so much! ❤️👊 https://t.co/1p48aWJPys
Colonizers are full of rodent excrement (being very kind).
"RT @npdrifter: Conservatives in PMO can't spell ""British Columbia."" They might've had more success spelling ""BC."" #BCPoli #Cdnpoli http://t…"
Colonizer police shooting POC in the back while fleeing is #ColonizerBS
Indigenous colonizers are worse than regular colonizers.
What's the difference between regular colonizer candidates and Uncle Tom ones? Nothing!
F armed colonizers shooting every challenge to colonizing hegemony.
"RT @Delo_Taylor: ""He charged at me.""

""He reached into his waistband.""

""He went for my gun.""

""I feared for my life.""

#WalterScott http:/…"
Mafioso around the world are bullshit fear mongers - F m all! East West or anywhere in between!
RT @deAdder: Cartoon for April 8. #Obama #Peace #Iran #IranDeal http://t.co/vB9dmp3ukx
"F gentrification, F the 1%, F colonialization, F hierarchy, F dichotomous reductionist thinking, F spiked public space, F colonizers!"
The removal of the #AANDC minister is a call to gut the spirit of the #BigChief of #Ottawapiskat
