RT @eddie1971nyc: They are not listening to meeee! #IranDeal http://t.co/HaL4ycO24W
RT @ajplus: Kenyans gather in Nairobi for a candlelight vigil to remember the victims of the #GarissaAttack. #147notjustanumber http://t.co…
RT @AtoFindata: Belgian King Leopold's annihilation of 10 million Congolese still isn't labeled as genocide by many today. Sickening. http:…
“@parwhoa: my iq... my poor iq... http://t.co/ITNFt9htkd” *bangs head on desk repeatedly*
There's a time and a place for things. Have a little respect. Sheesh.
I really don't like vulgarity in public. I don't care if you're religious or not. It's trashy as hell.
"Contrary to popular belief and practice, reading an entire Wikipedia article does not make you an authority on shit 😊"
I don't know if anyone will actually donate but I'm gonna put it out there again just in case. Maybe I will retweet periodically as well.
RT @WeNeedFeminlsm: Feminism is about more than dress codes and slut shaming so don't say it's not important http://t.co/mmcHjGZjev
Institutional racism is more than a remnant of the past that needs to be rectified. How else would the industrial prison complex be funded?
I really don't understand why people make such a big deal about cooking. Just use good ingredients &amp; don't burn it? It ain't hard 😴
"“@tumbIerposts: ""u lucky he holdin me back bitch"" http://t.co/eCgSsRc4V3” Actually me"
RT @SincerelyTumblr: When you think you're going to get a good grade on something but then don't http://t.co/nUduTKuBP2
RT @palestinienne__: Palestine murals in Ireland ❤️ http://t.co/JgLkO9MMQ8
"RT @MillidrewBieber: How is it that when 12 people were killed in France the world stopped, but when 147 students are killed in Kenya no on…"
RT @swsbcall: The side of Dubai that they DON'T want tourists to see http://t.co/Yuv8LTMy3v
RT @khateebunhcr: #UNHCRinSyria supports girls that go to school at the old garage shelter in #Tartous #Syria.@Refugees http://t.co/wP52ACO…
Step over a homeless person who sleeps in the cold as if they were invisible so you can get home &amp; tweet about freeing Palestine #bless
Yea we're all passionate about human rights blah blah blah. Why don't more of us volunteer at homeless shelters then? Aye twitter activists?
RT @BBAnimals: Why don't more people talk about how cute Caracals are 😍 http://t.co/pBQOrfl1Im
