RT @PJNET_Blog: New #PJNET Blog Showcase article courtesy of @joh2guy http://t.co/VCywY4Bac5
RT @PJNET_Blog: New #PJNET Blog Showcase article courtesy of US House Member @RepGosar (R-AZ) http://t.co/LwY0e93kO9
RT @PJNET_Welcome: #PJNET welcomes our 3720th team member @PaulFranklin8. Not a member? Check us out at http://t.co/dOHhKM4v6h
RT @PJNET_Welcome: #PJNET welcomes our 3716th team member @TossingTorches. Not a member? Check us out at http://t.co/dOHhKMm6uR
RT @PJNET_Welcome: #PJNET welcomes our 3718th team member @afinngirl. Not a member? Check us out at http://t.co/dOHhKMm6uR
@ROSA_HENSON8767 @bambangteam6 @britneymyers11 @vylebiqypoza @danforce_one thx for following. Plz check out my #PJNET team mate @gegco
@Steph_morex @tahirkamal99 @NewAmerican76er @julalyhitoso @rsourceline thx for following. Plz check out my #PJNET team mate @Ropeadip
Does @njdotcom tell @jessbeym to delete pro #2A comments &amp; only allow rabid gun grabber comments or does she do that all by herself? #CCinNJ
Why did @jessbeym of Leftist rag @njdotcom delete comments she disagrees with yet happily allowed anti #2A gun grabber comments? #CCinNJ
RT @PJNET_Blog: New #PJNET Blog Showcase article courtesy of @faultlineusa http://t.co/Zj82v4PP6S
RT @PJNET_Welcome: #PJNET welcomes our 3716th team member @LibertyGun1776. Not a member? Check us out at http://t.co/dOHhKMm6uR
"NJ has 1.2M Gun Owners &amp; only 1/10 of 1% of them allowed #CC Permits http://t.co/8tUAJkLGMa  those 1,212 are Politicians/Judges/Ex-LEOs #2A"
"Is @GovChristie Conservative? NJ = 8.9M ppl 1.2M gun owners &amp; only 1,212 #CC holders https://t.co/wpmpLhDzzv Is he even GOP? #CCinNJ #2A"
"Crime study http://t.co/8tUAJkLGMa of 1.2M NJ gun owners only 1,212 have been granted #CC Permits &amp; they're Judges/Pols/Ex-LEOs #2A #CCinNJ"
RT @andersonDrLJA: HITLER'S THOUGHT POLICE HERE! #MichelleObama: Monitor Your Parents For #ThoughtCrime  http://t.co/qyTrSlMzkG … #TCOT htt…
RT @PatDollard: Doing The Devils Work: ISIS Continues It’s Evil Agenda Of Eradicating Christianity From Iraq http://t.co/lgnM1iVnVT  #tcot …
RT @Java_penguin: MT @ScarlettDear1: Greater love hath no man than this... http://t.co/OlnvRoLip7 #RenewUS #PJNET
RT @kc8ysl: #GunSense #guns [911 Call] GunsSaveLives Writer’s Attempted SWATting By… http://t.co/bOM32wBiag #nra #gunrights #2a http://t.co…
RT @M0L0NL4BE: Could a GOOD GUY WITH A GUN have stopped this 30-min rampage by a BAD GUY WITH GUN in a #GunFreeZone at the #NavyYard? #NRA …
"RT @jstines3: We have a VERY BIG problem: FED GOV'T! 
We need a VERY BIG solution: Convention of States 

#COSProject #PJNET 
http://t.co/D…"
