RT @Jim_Beau_27: Wieso ein #Burkaverbot? Deshalb. http://t.co/ztNN5INVEG
"RT @LaskoOfficial: Nearly 1000 downloads on my newly released fuego mixtape! thank you! 
Please keep downloading! Las
http://t.co/CfE4ga0uco"
"@michaeldickson no word about that incident in german newspapers, just the usual banter against islam-critical movement #Pegida"
"RT @kgalloway85: They didnt draw any offensive cartoons, they are just kids in Africa, so who cares #LetItBeKnown #africanlivesmatter http:…"
"RT @michaeldickson: “The idea that safety can be purchased by throwing a small State to the wolves is a fatal delusion.”
Churchill, 1938

#…"
RT @michaeldickson: There is no reason why the #GarissaAttack &amp; the demonstrations against Islamist terror in Kenya should get less coverag…
RT @Jim_Beau_27: Scharia in action: Steinigung eines Mannes wegen Ehebruchs. Aber ich bin ein Nazi wenn ich das kritisiere. #Pegida http://…
RT @JHunters_Corner: Where are voices in solidarity with Yarmouk? Silence from @PSCupdates who are more worried about a stupid conference h…
"@alexdwelling Yep, me! Back then. Quite mature themes."
#BadChoiceFuneralSongs Queen: Another One Bites The Dust
RT @BerndLucke: Finnland hat bei den Griechenhilfen für seine Bürger vorgebaut: http://t.co/AwYgp0bUjl. Für wen hat die deutsche Regierung …
"RT @michaeldickson: A sick society the civilized world should shun: ""#Iran Holocaust cartoon contest draws hundreds of entries"" http://t.co…"
RT @rplantiko: The perpetrators where black: The point where #feminists lost interest in the rape case. https://t.co/yTSP25lzTv
@TimSchouOnline @Stageit Allright - I'm iiiin!
"@BlizzardCSEU_DE Ist nicht besser geworden. War ne tolle Leistung über Ostern, Glückwunsch."
"RT @MDR_SNlive: ""Rassismus gegen das deutsche Volk wird gefördert."" - sagt der Sprecher von #pegida-NRW auf dem Altmarkt"
"RT @Jim_Beau_27: Deshalb #Pegida.
#Islam #Nopegida http://t.co/V9JnHd1219"
@DAVID_LYNCH Now I'm devastaded *sob*
RT @BenWeinthal: So Islamic State slaughters Palestinians in #Yarmouk and Assad used starvation to kill Palestinians and European Gaza prot…
"RT @JF_Hoffgaard: Um den Tröglitzern nun Toleranz einzuprügeln, sollte man dort 300 Kosovoalbaner einquartieren. Damit die mal sehen, was ""…"
