"RT @herenowhere3: @RandPaul if you're a libertarian, why are you against gay marriage?"
Mechanical hearts are heartless. https://t.co/N1Rp66zlNw
MidEast wars have raged since Old Testament. We get sucked in bcuz OIL!! https://t.co/ymc4RdW5mW
RT @WhatTheFFacts: The first political cartoon ever published in the U.S. was authored by Benjamin Franklin. http://t.co/CuX9bIHojA
RT @bimmerella: .@Methos2010 @gemssim btw nice pivot...asked &amp; answered. http://t.co/tIuIfmYrxq
RT @chelseahandler: 3 funny women on 3 magazine covers at the same time. #powerful women who choose what they do and run the show. Boo-ya h…
"RT @VoteRights4All: If those who shout for war would do the fighting or send their sons and daughters to fight, would their pronouncements …"
"RT @Ziggy_Daddy: If armed white cops feel threatened by unarmed black men, imagine how unarmed black men feel about armed white cops. #Walt…"
True colors eventually show through &amp; reveal the asshole you really are. https://t.co/LDEq7B39cn
"RT @cidelson: In his West Chester, OH office, #RHT300B supporters call on @SpeakerBoehner to support HR 1464 to rebuild America http://t.co…"
RT @Elverojaguar: source: cuteanimalspics http://t.co/g8O9NppQxy
RT @TheMensHumor: Police: THIS IS THE POLICE! OPEN YOUR DOOR NOW!!!Me: not with that attitude
RT @emilyslist: The GOP is (still!) delaying a vote on Loretta Lynch. RT if you think it’s time to #ConfirmLynch http://t.co/8F8aD6jvQH
RT @civilrightsorg: .@ohiodotcom says Loretta Lynch deserves a confirmation vote. It's time for @robportman to help: http://t.co/4AKksrczn1…
"RT @civilrightsorg: Yes, it’s outrageous that the Senate left for a two-week recess without voting to #ConfirmLynch as the first African-Am…"
RT @Elverojaguar: http://t.co/6ZX0POkfNQ
"RT @KathrynBruscoBk: While the media scrambles for mugshots of #WalterScott, this is him. R.I.P. http://t.co/b61VPQXMY5 via @TheObamaDiary …"
"RT @BestStormPics: ""Solar Storm"" http://t.co/lhCpthJl6s"
RT @phil500: Good morning ☕️ http://t.co/Z2dGApFQvt
RT @Redone68: Have lots of sex and be merry this weekend! http://t.co/ubRiPnVBcF
