#wearethepeople that would be Darius the Great of Persia who also introduce gold and silver coins as monetary exchange
"UNICEF: Yemeni children at high risk, need protection: https://t.co/XO4FCBTt2l via @YouTube"
3D virtual objects that can be touched and felt: https://t.co/2ssv7yG5Rt via @YouTube
World Bank ready to share experience with AIIB: https://t.co/N2dETKkRWw via @YouTube
"New Tesla Boosts Range, Power and Price: https://t.co/VJa2Thkbkt via @YouTube"
The creepy spying power buried in the Patriot Act: https://t.co/O4d67x8iar via @YouTube
Homeless Kittens Born At Mall Loading Dock Rescued With Mother: https://t.co/ZM1sQ9WCXR via @YouTube
Tell the AKC to Stop Protecting Puppy Mills! http://t.co/woJbs25e9m via @Change
Add your voice in support of a healthy school day for our littlest learners!  http://t.co/Iq1W5wNtlW
Urge Publix to Switch to Plant-based Plastics!.. http://t.co/auVUDACcOO
End the cruel and wasteful seal hunt http://t.co/WwsWCGm0NE
"Tell @USFWSHQ to stop the Army Corps from slaughtering 11,000 cormorants. Take action with the @audubonsociety today: http://t.co/wXl7XzoeNU"
Sign the petition to @lowes: Stop selling bee-killing pesticides http://t.co/MR7dZJSsXf #bees #p2 via @CREDOmobile
Sign the petition: Tell Congress to fight @Monsanto &amp; support mandatory #GMO labeling http://t.co/QmcQIJk05J
Don’t let Comcast take over half of America’s Internet. Tell Congress &amp; @FCC to #StoptheTakeover” https://t.co/4QnxVaXoG9
"US wasting billions on cancer over-diagnosis, false positive mammograms ...: https://t.co/XNpDyh3vsi via @YouTube"
Sucked dry: California frackers downing water despite devastating drought: https://t.co/8ixaqAOr7B via @YouTube
Creep - Vintage Postmodern Jukebox Radiohead Cover ft. Haley Reinhart: https://t.co/CanbPH3WFK via @YouTube
#wearethepepople A PERSIAN WOMAN SPEAKS https://t.co/VMSERhVn6U
A PERSIAN WOMAN SPEAKS: https://t.co/fFSWUkTXOr via @YouTube
