RT @cannabox: Stoner fails http://t.co/0drzg0jRkT
RT @14democracy: #Monsanto's #TPP undermines #foodsafety &amp; your right to non-#GMO food: http://t.co/UXcX8MbPfA @GMOFreeUSA #NoGMO #p2 http:…
The animal foundation is apparently aborting animals and stuffing them in freezers. That's so psycho  http://t.co/4PJry7kpOh via @8NewsNow
RT @peta: Scientists found people who regularly chow down on processed meat suffer 70% increase in pancreatic cancer rates. #SafeFood #Worl…
@Asap_Akomplice it's was extremely life changing lol it was by far the craziest night of my life
"This kids talking about mushrooms but they don't even know what's up lol take over 10g's like I did, and then will talk 😊🍄"
"RT @peta: SEE the fear in her eyes. KNOW that this is wrong.

#Reasons2GoVegan #MeatIsMurder http://t.co/ibQbnI1NsF"
"I stoped following @ArthritisFdn because they test on animals, it's a shame to people that care for animals n have arthritis #crueltyfree"
"RT @peta: RT if u can’t wait to see ALL tails like this splashing in the OCEAN, instead of in tanks. #LetThemBeFree http://t.co/yKcZIGBrOQ"
RT @action4ifaw: WATCH: @wti_org_india rescued rhinos set free in Northeast India: http://t.co/DeNA0ck5yx http://t.co/FHKrsqGvXh
RT @emfoolav: HAPPENING NOW: @peta calls on California to ditch meat and dairy to fight the drought! http://t.co/fQnJkUejfh
"RT @PETA_Latino: Si fueras una oveja explotada por tu lana, esto es lo que te sucedería: http://t.co/gsTf9DGG65   

RT: #WoolIsCruel 💔 http…"
RT @peta: THERE IS NO DIFFERENCE. #AnimalRights http://t.co/yJK4FrQGLB
RT @peta: NEWS OF THE WEEK: After hearing from YOU @McDonalds pulled commercial featuring chimpanzee! http://t.co/EhyeCoALQW http://t.co/ir…
"RT @peta: If you can’t handle the truth behind meat, KEEP IT OFF OF YOUR PLATE: http://t.co/ym2X5Dslp7 #Reasons2GoVegan http://t.co/2yyHwJM…"
"RT @NevadaSPCA: Dania, rescued Great Dane, heartbroken by betrayal of her trust, pleading for a hero.
http://t.co/uzmER790Na http://t.co/gK…"
"RT @NevadaSPCA: Byron, fun-loving youngster, great with other dogs, seeking a loving forever home.
https://t.co/smyI5Wejlm http://t.co/cG0g…"
"RT @NevadaSPCA: Emma &amp; Denver
Rescued &amp; reunited!
Siblings w/ a magical bond, debuting for adoption.
http://t.co/8rl7UivSuQ http://t.co/zg7…"
"RT @NevadaSPCA: Daijon (""God's gift of hope"")
Rescued youngster recovering from cruelty, ready to bloom.
http://t.co/guLJgk9Gwg http://t.co…"
"RT @NevadaSPCA: Donations of canned cat food especially needed to help with all of the motherless kittens being rescued.
Thank you!
http://…"
