They are also selfie freaks.
"Really fucked up low self esteem assholes must buy twitter followers. No regular person has 50,000 followers. What the fuck is that?"
RT @omg_shock_omg: 40% of IRS revenue goes towards war and the military.
RT @omg_shock_omg: The United States supplies arms or military technology to more than 92% of the conflicts under way at any given moment.
RT @censorednewsnow: http://t.co/pwm3kOtrk9 http://t.co/3VDxj1q8Wq  http://t.co/0blTPndZhW … FREE  http://t.co/AsTVj2KdK7  MAC http://t.co/…
RT @OrignalceQueen: “@tempus_edax_55: @OrignalceQueen @Valarry @middelburg_ger http://t.co/wcvILj4yQf” Yes Paul try not to be one GOOD TALK
"RT @Anonionaire: At what point did this man become ""life threatening"" ? ?  #WalterScott http://t.co/FLoHyPb7Ku"
"RT @thehill: Rand Paul is selling an ""NSA spy cam blocker"" through his presidential campaign website: http://t.co/9kpL4JsJcp http://t.co/h4…"
RT @MattyIceAZ: Rand Paul asked for God's help in his 2016 presidential bid. This is bad news for the other candidates who also asked for G…
"RT @FrankConniff: Of course Rand Paul is a huge Ayn Rand fan; she wrote a book about him - ""Asshat Shrugged."""
RT @JohnFugelsang: Rand Paul called the Newtown parents 'props' and it was so soulless Voldemort asked to borrow a Horcrux.
@VeryWhiteGuy @305Josec Sorry about that.
@VeryWhiteGuy @305Josec Yeah as she shat in your fathers mouth!
@Jazzzzzmina @musculardog Wait ten more years
@VeryWhiteGuy @305Josec Keep it coming
@VeryWhiteGuy Hey there she is!
@VeryWhiteGuy go fuck your mother
"@305Josec @VeryWhiteGuy Like Gandhi said ""I like your Christ, I just don't like your Christians."
RT @305Josec: Very true... http://t.co/RD8vEEU2bx
RT @Xultar: #WalterScott http://t.co/wTIhYKQMAU
