"@xkit Sorry, no, but Bill Freese will have"
"RT @KimikoKimikoko: Patrick Moore, a paid dickhead for the nuclear industry, the logging industry, and genetic engineering industry http://…"
Seed laws that criminalise farmers - resistance and fightback http://t.co/rmiAiHhbUB #Seeds under attack everywhere http://t.co/tbm3yQMbql
"RT @STOPGETREES: There will be no way to #STOPGETREES from spreading once established. Sign the petition: http://t.co/cxaGpduGTL
https://t.…"
Some of Patrick Moore's more memorable insults :) http://t.co/1dlfv9mh4n #gmo http://t.co/Zpcx6BJGtE
"Hey @EcoSenseNow, are you cleaning up your act?? What happened to ""murdering bastards"", ""asshole liars"" etc? We want proper insults!!"
"RT @EcoSenseNow: @GMWatch You and your leftist ""progressive"" cohorts are the ones ""full of nonsense"". Revisionists, liars, propaganda, hate…"
This piece by Mike Hansen debunking the myths about golden rice is the best intro on this http://t.co/pAdHhgsw4S #gmo http://t.co/XJhOyTRdfY
RT @BioSRP: Corporate twisting of animal production #science and #research for profit http://t.co/rEXXBA6ywp #researchmatters #Agchat
RT @kamayoq: #Seed Laws: V good interactive worldmap; data from &gt;120 countries via @GRAIN_org http://t.co/zxFxAovRdV @USCCanada @GMWatch @g…
"RT @mpceo: Body in charge of reviewing #glyphosate for EU says it will not look at WHO ""probably carcinogenic"" conclusions https://t.co/yz8…"
"RT @OliverDowding: So @GMWatch @PaulMoreiraPLTV branded ""professional propagandists"" by @EcoSenseNow. What's Patrick? Maybe he's unprofessi…"
"Filipino communities represented by politicians, scientists, mothers etc opposing golden rice https://t.co/WpsDDSEdzr http://t.co/50YjJhQiAr"
RT @EcoSenseNow: @GMWatch What you mean is full of the truth about climate alarmism and 50 million unnessesary deaths from malaria due to W…
"RT @EcoSenseNow: @GMWatch @PaulMoreiraPLTV I think he's the one who's disturbed, mentally, that is. You and he are a fine pair of professio…"
Excellent overview of #GMO trees from @biofuelwatch on their new website: http://t.co/ApJj4JhvC7 http://t.co/g3oayernX0
RT @biofuelwatch: We have a new website! Visit http://t.co/NYB603dZJj 4 news on #biomass #biofuels #GEtrees #geoengineering #axedrax http:/…
GMOs deliver pesticides &amp; line the bank accounts of chemical corps. But non-#GMO does deliver! http://t.co/1Q5ZlKVQYi http://t.co/8pfWradCbt
#GMO Science Deniers http://t.co/MRmbfR6RRL #Monsanto Fails 3rd Grade Science http://t.co/WzzSZIDBkW
Thousands of farmers demonstrate against anti-farmer policies and #GMO crops http://t.co/lP1Ol5YHox http://t.co/r2mdZqpQRj
