@TX10emmie :))
"@Magilsen @bart_salomons @volkskrant Like wise, doe je best en veel plezier in het weekend! #lekkerweer"
RT @Magilsen: @MoniqueHuizer1 @bart_salomons @volkskrant verantwoordelijkheid nemen = niet wegkijken als er iets gebeurt en veilig en veran…
@Sanderazzi @Magilsen @bart_salomons @volkskrant in een gezonde niet ego gestuurde maatschappij zou dat een moreel automatisme moeten zijn
@Magilsen @bart_salomons @volkskrant agressie of hartmassage geeft mij dezelfde stress maar bij het ene ervaar ik geen fysieke nadelen
@Magilsen @bart_salomons @volkskrant morele plicht evenals het verzorgen van mogelijk slachtoffer!
RT @volkskrant: 'Test op kanker bij vrouwen moet beter' http://t.co/uV3SDMdgKB http://t.co/DkfOqDvBOX
"@Magilsen @bart_salomons @volkskrant lieverd, ik snap wat je zegt maar geweld of het toepassen daarvan hoort bij daartoe opgeleide mensen"
"@Magilsen @bart_salomons @volkskrant Ho, we hebben een vrijwilligster voor de lijn Rotterdam. Breda in het weekend hoor ik?"
@Magilsen @bart_salomons @volkskrant wat een #fail weer van #participatiesamenleving burgers inzetten voor politietaken
"@kritischevragen @volkskrant hahaha ja, ipv de conducteur dient men een aangewezen passagier voor zijn bek te slaan! de straf is dan lager"
"RT @TX10emmie: Even voor jullie tilapia etertjes , je kan eigenlijk net zo goed je giechel gelijk in een emmer antibiotica stoppen."
RT @cmsNetherlands: #Monsanto #Poison #GMO https://t.co/efi4T0mUSV
"@volkskrant ""de conducteur wijst een passagier aan"""
RT @cmsNetherlands: #EenVandaag .... een verdere verkrachting van ons onderwijs... Ja tuurlijk joh we schaffen schrijven af.. Mongolen van …
RT @FredvdSanden: Rupsje nooitgenoeg en oorloghitser: Zitpenningen Sofina leveren Verhofstadt (nog) meer op http://t.co/nyZTFc02X1 via @dem…
RT @EnglandHockey: The hockey-clubs-in-england Daily is out! http://t.co/74YzAZegiD Stories via @HuddsDragons @weymouthhockey @Phoenix_Hock…
"RT @David_Cameron: Since 2010, there are 52,000 more people in work in Wales. Today I visited businesses creating some of those jobs: https…"
"RT @Guggenheim: Happy birthday, Gino #Severini! On view last year in #ItalianFuturism, ""Blue Dancer"" 1912: http://t.co/fTcW5xwaAN http://t.…"
RT @EnglandHockey: English teams finish with victories in Europe: Surbiton finish fifth and Canterbury seventh at 2015 European C... http:/…
