"#पाब्लोपिकासो और #कुमारगंधर्व के जन्मदिन पर कुछ पेंटिंग्स और कुमार साहब के साथ कबीर:
http://t.co/lMLL35SrTm http://t.co/Ptcr9b7an8"
"#पाब्लोपिकासो और #कुमारगंधर्व के जन्मदिन पर कुछ पेंटिंग्स और कुमार साहब के सुर में कबीर:
http://t.co/egCsicog9M http://t.co/wHfWYKgpTP"
"आज #पाब्लोपिकासो और #कुमारगंधर्व दोनों का जन्मदिन है. यहाँ पिकासो की तस्वीर-कुमार साहब के सुर:
http://t.co/pa0NxIZc09 http://t.co/897i5h5r0t"
"झीनी-झीनी बीनी चदरिया..
कुमार गंधर्व के जन्मदिन पर उनके सुर में कबीर की बानी:
http://t.co/cQtlHrspcw 
#कुमारगंधर्व"
RT @medialens: 'Adverse emotional and interpersonal effects of antidepressants' and the recent airline tragedy http://t.co/CSVajA7tFS
RT @GMWatch: Just how long have we waited for golden rice? A decade and a half of technical failure: http://t.co/1przR6yQMK #gmo http://t.c…
"RT @GMWatch: Transgenic Wars: Review of ""the best film on GMOs since The World According to Monsanto"" http://t.co/IAKr30U8Es #gmo http://t.…"
"RT @brainpicker: Why time slows down when you're terrified, speeds up as you age, and gets all contorted when you go on vacation http://t.c…"
Dear @TataSky are you listening? Most of the channels are not showing since last Friday but u r just giving excuses. http://t.co/BqscEI64qq
"उड़ जाएगा हंस अकेला...
कुमार गंधर्व को उनके जन्मदिन पर याद करते हुए:

http://t.co/KDGgsH8ySZ 
#कुमारगंधर्व"
@scrippsiij @StudyoftheUS @scrippsjschool Wow! Who are they Prof Kalyango?
RT @scrippsiij: Heading to a short trip to ICA 2015 European conf. in Poland. We've planned reunions with 3 @StudyoftheUS @scrippsjschool @…
"RT @proustitute: ""The only reason for time is so that everything doesn't happen at once."" - Albert Einstein"
"ऐ रहबरे मुल्को क़ौम बता, ये किसका लहू है, कौन मरा?
कभी एक शायर ने पूछा था जिसका जवाब मिलना बाक़ी है... https://t.co/pNz5YJEmjp"
RT @NatCounterPunch: The freedom to vote carries little weight without economic freedom. http://t.co/pptISZxPUt http://t.co/pBmQTLfhed
RT @brainpicker: 100 ideas that changed photography http://t.co/ZUHjFsVMPz http://t.co/QNdG0Bx7G4
"RT @CraigSilverman: ""There is enormous public demand for unbelievable believable stories."" http://t.co/TKWh5gf0Wz"
RT @berkmancenter: Digitally Connected: Global Perspectives on Youth and Digital Media http://t.co/QgP6XrNMgF
Amen!  https://t.co/LVmyZXqlCL
"वे कहते हैं कण-कण में हैं भगवान
यहाँ मैंने देखा चट्टान के उपर बैठे हैं श्रीमान!! http://t.co/1dUteeGenO"
