RT @kelebogileseja1: Next season home kit http://t.co/DHSAnbFM14
"RT @intrsstingfacts: ""A musician would need to get 130,745 plays per day on Spotify just to earn minimum wage."""
"RT @intrsstingfacts: ""Haters don't really hate you. In fact, they hate themselves because you're a reflection of what they wish to be."""
RT @intrsstingfacts: The Fault in My Grades
RT @KTNKenya: COTU hold meeting to prepare for COTU jubilee celebrations set for labour day http://t.co/r5vrEb2V18 http://t.co/lYz3EH5VhD
RT @ntvkenya: #TerrorOnCampus: Cabinet secretaries give an update on the Garissa attack http://t.co/GQliEBEvk3 http://t.co/dqWXXyZ2Ew
RT @Mdundomusic: Have you joined Mdundo yet? Do not be left out  #MdundoUganda. http://t.co/Muip6vc8lX
RT @NcGeehan: Is @nyuniversity taking worker abuse at #UAE campus seriously? Not according to these students.http://t.co/bFJDo24FxN http://…
RT @Kevin_teya: AFCON 2017: Kenya pooled alongside Zambia in qualifiers http://t.co/RBYlmHeWfE
RT @wepluggoodmusic: Matt Wills – Let Love Lead | New Music http://t.co/BsR4aY4RUb
RT @wepluggoodmusic: Matt Wills – Let Love Lead | New Music http://t.co/mEY4Ay3FSe
RT @mzaziwillytuva: #TiChi by @KenrazyGhipuka on @MsetoEA @citizentvkenya
"RT @hi_itiisme: ""I rather cuddle and watch a movie with you, instead of going out to a party."""
"RT @hi_itiisme: ""Distance doesn't ruin a relationship, doubts do."""
@nyamira_county this page is inactive even Hon Nyagarama's twitter handle
RT @NationFMKe: How do we expect a high school leaver to contain a graduate terrorist? ~ @SirAggreys #TeamNationFM
@RadioJamboKenya wee the law say abortion can be done if life is in danger likewise to security
@NationFMKe @mejja_mwangi even our fellow comrade went to join when recruitment was done but was told to go back to class with his cert
"@K24Tv the problem started when there was increment of allowances, the best removed. Untrained rich were put in place due 2 money factor"
@NationFMKe @AngelaAngwenyi alshabaa seriously employing lawyers kdf dwarfs..Im here with everything they require.Lets be enjoined imReady
