RT @RelaxVibes: This movie was too real http://t.co/o794iFjZYd
"""Em meio ao vale da sombra da morte eu não temerei, eu sei que comigo estás."" https://t.co/HZfXqpzGbN"
"RT @NoPlanetaB: #RoundUp, #Monsanto 's weed killer has glyphosate! Humm?? #GMO #transgenicos https://t.co/T5pWgBaCgV"
RT @oficialvgc: Fomos criados para pertencer ao abraço de Deus. http://t.co/kUcFoP7fLc
RT @Greenpeace: Our activists are setting up camp on Shell's drill rig! http://t.co/uxUerRHlCf #TheCrossing http://t.co/Pw1PSJ7B7X
"estudar matemática é como ler em mandarim, impossível, já que eu não sei nenhum dos dois"
odeio matemática...
"""Todas essas criaturas sabem que foi a mão do Senhor que as fez...é ele quem mantém todas as pessoas com vida."" http://t.co/OfbxkOsRzz"
@GabiBrasiliano feliz páscoaaa
Os Miseráveis ❤️
RT @gpph: No Easter break for Johno—he's busy shining a light on Shell's mad plans 2 drill in the Arctic http://t.co/4PZeQjCc4W http://t.co…
RT @peta: #Easter Reminder: KNOW THE DIFFERENCE. http://t.co/mxSBgAxGw8
RT @GreenpeaceBR: Faltam menos d 2 mil assinaturas p/ chegarmos a 1.105.000! Dê RT se você quer salvar as florestas! #DesmatamentoZero: htt…
#60DiasNaAmazônia um dia eu vou fazer isso!!! 😍🌎🌺 @CanalOff
RT @psustentavel: Ovo de páscoa está caro? Aquecimento global transformará chocolate em artigo de luxo: http://t.co/PJ3XGcZfDR http://t.co/…
"RT @tarrais: ""...quem perder a sua vida por amor de mim, achá-la-á."" 

Mateus 16.25"
RT @MMNNGreenWorld: Hi! @rustyrockets plz could you support thunderclap to help END destructive #neoliberalism https://t.co/KUgjJsoDb1 http…
RT @veganfuture: Wearable pineapple fibres could prove sustainable alternative to leather http://t.co/Ho5E6RtsyP http://t.co/wpGJYcrbvV
RT @girlposts: Me every day.. https://t.co/2oZMQoIbuJ
RT @GreenpeaceBR: O Brasil abriga 20% de todas as espécies do planeta. Não podemos perder nossa biodiversidade.Assine http://t.co/Q9NwVN5uk…
